linha,sequencia,bit,framerate,SourceWidth,SourceHeight,qp,subtrator,linhacomando,resultado,video
145,/data/videos/4k/Bosphorus_3840x2160_120fps_420_10bit_YUV.yuv,10,120,3840,2160,22,51,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/4k/Bosphorus_3840x2160_120fps_420_10bit_YUV.yuv --FramesToBeEncoded=60 > Bosphorus120fps_22_51,Bosphorus120fps_22_51,Bosphorus120fps
146,/data/videos/4k/Bosphorus_3840x2160_120fps_420_10bit_YUV.yuv,10,120,3840,2160,22,11,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/4k/Bosphorus_3840x2160_120fps_420_10bit_YUV.yuv --FramesToBeEncoded=60 > Bosphorus120fps_22_11,Bosphorus120fps_22_11,Bosphorus120fps
147,/data/videos/4k/Bosphorus_3840x2160_120fps_420_10bit_YUV.yuv,10,120,3840,2160,22,21,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/4k/Bosphorus_3840x2160_120fps_420_10bit_YUV.yuv --FramesToBeEncoded=60 > Bosphorus120fps_22_21,Bosphorus120fps_22_21,Bosphorus120fps
148,/data/videos/4k/Bosphorus_3840x2160_120fps_420_10bit_YUV.yuv,10,120,3840,2160,22,12,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/4k/Bosphorus_3840x2160_120fps_420_10bit_YUV.yuv --FramesToBeEncoded=60 > Bosphorus120fps_22_12,Bosphorus120fps_22_12,Bosphorus120fps
149,/data/videos/4k/Bosphorus_3840x2160_120fps_420_10bit_YUV.yuv,10,120,3840,2160,22,22,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/4k/Bosphorus_3840x2160_120fps_420_10bit_YUV.yuv --FramesToBeEncoded=60 > Bosphorus120fps_22_22,Bosphorus120fps_22_22,Bosphorus120fps
150,/data/videos/4k/Bosphorus_3840x2160_120fps_420_10bit_YUV.yuv,10,120,3840,2160,22,13,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/4k/Bosphorus_3840x2160_120fps_420_10bit_YUV.yuv --FramesToBeEncoded=60 > Bosphorus120fps_22_13,Bosphorus120fps_22_13,Bosphorus120fps
151,/data/videos/4k/Bosphorus_3840x2160_120fps_420_10bit_YUV.yuv,10,120,3840,2160,22,23,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/4k/Bosphorus_3840x2160_120fps_420_10bit_YUV.yuv --FramesToBeEncoded=60 > Bosphorus120fps_22_23,Bosphorus120fps_22_23,Bosphorus120fps
152,/data/videos/4k/Bosphorus_3840x2160_120fps_420_10bit_YUV.yuv,10,120,3840,2160,22,14,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/4k/Bosphorus_3840x2160_120fps_420_10bit_YUV.yuv --FramesToBeEncoded=60 > Bosphorus120fps_22_14,Bosphorus120fps_22_14,Bosphorus120fps
153,/data/videos/4k/Bosphorus_3840x2160_120fps_420_10bit_YUV.yuv,10,120,3840,2160,22,24,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/4k/Bosphorus_3840x2160_120fps_420_10bit_YUV.yuv --FramesToBeEncoded=60 > Bosphorus120fps_22_24,Bosphorus120fps_22_24,Bosphorus120fps
154,/data/videos/4k/Bosphorus_3840x2160_120fps_420_10bit_YUV.yuv,10,120,3840,2160,27,51,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=27 -c sequence.cfg  -i /data/videos/4k/Bosphorus_3840x2160_120fps_420_10bit_YUV.yuv --FramesToBeEncoded=60 > Bosphorus120fps_27_51,Bosphorus120fps_27_51,Bosphorus120fps
