linha,sequencia,bit,framerate,SourceWidth,SourceHeight,qp,subtrator,linhacomando,resultado,video
325,/data/videos/1080p/Cactus_1920x1080_50.yuv,8,50,1920,1080,22,51,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/1080p/Cactus_1920x1080_50.yuv --FramesToBeEncoded=60 > Cactus50_22_51,Cactus50_22_51,Cactus50
326,/data/videos/1080p/Cactus_1920x1080_50.yuv,8,50,1920,1080,22,11,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/1080p/Cactus_1920x1080_50.yuv --FramesToBeEncoded=60 > Cactus50_22_11,Cactus50_22_11,Cactus50
327,/data/videos/1080p/Cactus_1920x1080_50.yuv,8,50,1920,1080,22,21,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/1080p/Cactus_1920x1080_50.yuv --FramesToBeEncoded=60 > Cactus50_22_21,Cactus50_22_21,Cactus50
328,/data/videos/1080p/Cactus_1920x1080_50.yuv,8,50,1920,1080,22,12,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/1080p/Cactus_1920x1080_50.yuv --FramesToBeEncoded=60 > Cactus50_22_12,Cactus50_22_12,Cactus50
329,/data/videos/1080p/Cactus_1920x1080_50.yuv,8,50,1920,1080,22,22,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/1080p/Cactus_1920x1080_50.yuv --FramesToBeEncoded=60 > Cactus50_22_22,Cactus50_22_22,Cactus50
330,/data/videos/1080p/Cactus_1920x1080_50.yuv,8,50,1920,1080,22,13,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/1080p/Cactus_1920x1080_50.yuv --FramesToBeEncoded=60 > Cactus50_22_13,Cactus50_22_13,Cactus50
331,/data/videos/1080p/Cactus_1920x1080_50.yuv,8,50,1920,1080,22,23,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/1080p/Cactus_1920x1080_50.yuv --FramesToBeEncoded=60 > Cactus50_22_23,Cactus50_22_23,Cactus50
332,/data/videos/1080p/Cactus_1920x1080_50.yuv,8,50,1920,1080,22,14,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/1080p/Cactus_1920x1080_50.yuv --FramesToBeEncoded=60 > Cactus50_22_14,Cactus50_22_14,Cactus50
333,/data/videos/1080p/Cactus_1920x1080_50.yuv,8,50,1920,1080,22,24,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/1080p/Cactus_1920x1080_50.yuv --FramesToBeEncoded=60 > Cactus50_22_24,Cactus50_22_24,Cactus50
334,/data/videos/1080p/Cactus_1920x1080_50.yuv,8,50,1920,1080,27,51,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=27 -c sequence.cfg  -i /data/videos/1080p/Cactus_1920x1080_50.yuv --FramesToBeEncoded=60 > Cactus50_27_51,Cactus50_27_51,Cactus50
335,/data/videos/1080p/Cactus_1920x1080_50.yuv,8,50,1920,1080,27,11,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=27 -c sequence.cfg  -i /data/videos/1080p/Cactus_1920x1080_50.yuv --FramesToBeEncoded=60 > Cactus50_27_11,Cactus50_27_11,Cactus50
336,/data/videos/1080p/Cactus_1920x1080_50.yuv,8,50,1920,1080,27,21,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=27 -c sequence.cfg  -i /data/videos/1080p/Cactus_1920x1080_50.yuv --FramesToBeEncoded=60 > Cactus50_27_21,Cactus50_27_21,Cactus50
337,/data/videos/1080p/Cactus_1920x1080_50.yuv,8,50,1920,1080,27,12,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=27 -c sequence.cfg  -i /data/videos/1080p/Cactus_1920x1080_50.yuv --FramesToBeEncoded=60 > Cactus50_27_12,Cactus50_27_12,Cactus50
338,/data/videos/1080p/Cactus_1920x1080_50.yuv,8,50,1920,1080,27,22,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=27 -c sequence.cfg  -i /data/videos/1080p/Cactus_1920x1080_50.yuv --FramesToBeEncoded=60 > Cactus50_27_22,Cactus50_27_22,Cactus50
339,/data/videos/1080p/Cactus_1920x1080_50.yuv,8,50,1920,1080,27,13,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=27 -c sequence.cfg  -i /data/videos/1080p/Cactus_1920x1080_50.yuv --FramesToBeEncoded=60 > Cactus50_27_13,Cactus50_27_13,Cactus50
340,/data/videos/1080p/Cactus_1920x1080_50.yuv,8,50,1920,1080,27,23,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=27 -c sequence.cfg  -i /data/videos/1080p/Cactus_1920x1080_50.yuv --FramesToBeEncoded=60 > Cactus50_27_23,Cactus50_27_23,Cactus50
341,/data/videos/1080p/Cactus_1920x1080_50.yuv,8,50,1920,1080,27,14,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=27 -c sequence.cfg  -i /data/videos/1080p/Cactus_1920x1080_50.yuv --FramesToBeEncoded=60 > Cactus50_27_14,Cactus50_27_14,Cactus50
342,/data/videos/1080p/Cactus_1920x1080_50.yuv,8,50,1920,1080,27,24,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=27 -c sequence.cfg  -i /data/videos/1080p/Cactus_1920x1080_50.yuv --FramesToBeEncoded=60 > Cactus50_27_24,Cactus50_27_24,Cactus50
343,/data/videos/1080p/Cactus_1920x1080_50.yuv,8,50,1920,1080,32,51,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=32 -c sequence.cfg  -i /data/videos/1080p/Cactus_1920x1080_50.yuv --FramesToBeEncoded=60 > Cactus50_32_51,Cactus50_32_51,Cactus50
344,/data/videos/1080p/Cactus_1920x1080_50.yuv,8,50,1920,1080,32,11,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=32 -c sequence.cfg  -i /data/videos/1080p/Cactus_1920x1080_50.yuv --FramesToBeEncoded=60 > Cactus50_32_11,Cactus50_32_11,Cactus50
345,/data/videos/1080p/Cactus_1920x1080_50.yuv,8,50,1920,1080,32,21,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=32 -c sequence.cfg  -i /data/videos/1080p/Cactus_1920x1080_50.yuv --FramesToBeEncoded=60 > Cactus50_32_21,Cactus50_32_21,Cactus50
346,/data/videos/1080p/Cactus_1920x1080_50.yuv,8,50,1920,1080,32,12,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=32 -c sequence.cfg  -i /data/videos/1080p/Cactus_1920x1080_50.yuv --FramesToBeEncoded=60 > Cactus50_32_12,Cactus50_32_12,Cactus50
347,/data/videos/1080p/Cactus_1920x1080_50.yuv,8,50,1920,1080,32,22,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=32 -c sequence.cfg  -i /data/videos/1080p/Cactus_1920x1080_50.yuv --FramesToBeEncoded=60 > Cactus50_32_22,Cactus50_32_22,Cactus50
348,/data/videos/1080p/Cactus_1920x1080_50.yuv,8,50,1920,1080,32,13,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=32 -c sequence.cfg  -i /data/videos/1080p/Cactus_1920x1080_50.yuv --FramesToBeEncoded=60 > Cactus50_32_13,Cactus50_32_13,Cactus50
349,/data/videos/1080p/Cactus_1920x1080_50.yuv,8,50,1920,1080,32,23,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=32 -c sequence.cfg  -i /data/videos/1080p/Cactus_1920x1080_50.yuv --FramesToBeEncoded=60 > Cactus50_32_23,Cactus50_32_23,Cactus50
350,/data/videos/1080p/Cactus_1920x1080_50.yuv,8,50,1920,1080,32,14,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=32 -c sequence.cfg  -i /data/videos/1080p/Cactus_1920x1080_50.yuv --FramesToBeEncoded=60 > Cactus50_32_14,Cactus50_32_14,Cactus50
351,/data/videos/1080p/Cactus_1920x1080_50.yuv,8,50,1920,1080,32,24,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=32 -c sequence.cfg  -i /data/videos/1080p/Cactus_1920x1080_50.yuv --FramesToBeEncoded=60 > Cactus50_32_24,Cactus50_32_24,Cactus50
352,/data/videos/1080p/Cactus_1920x1080_50.yuv,8,50,1920,1080,37,51,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=37 -c sequence.cfg  -i /data/videos/1080p/Cactus_1920x1080_50.yuv --FramesToBeEncoded=60 > Cactus50_37_51,Cactus50_37_51,Cactus50
353,/data/videos/1080p/Cactus_1920x1080_50.yuv,8,50,1920,1080,37,11,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=37 -c sequence.cfg  -i /data/videos/1080p/Cactus_1920x1080_50.yuv --FramesToBeEncoded=60 > Cactus50_37_11,Cactus50_37_11,Cactus50
354,/data/videos/1080p/Cactus_1920x1080_50.yuv,8,50,1920,1080,37,21,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=37 -c sequence.cfg  -i /data/videos/1080p/Cactus_1920x1080_50.yuv --FramesToBeEncoded=60 > Cactus50_37_21,Cactus50_37_21,Cactus50
355,/data/videos/1080p/Cactus_1920x1080_50.yuv,8,50,1920,1080,37,12,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=37 -c sequence.cfg  -i /data/videos/1080p/Cactus_1920x1080_50.yuv --FramesToBeEncoded=60 > Cactus50_37_12,Cactus50_37_12,Cactus50
356,/data/videos/1080p/Cactus_1920x1080_50.yuv,8,50,1920,1080,37,22,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=37 -c sequence.cfg  -i /data/videos/1080p/Cactus_1920x1080_50.yuv --FramesToBeEncoded=60 > Cactus50_37_22,Cactus50_37_22,Cactus50
357,/data/videos/1080p/Cactus_1920x1080_50.yuv,8,50,1920,1080,37,13,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=37 -c sequence.cfg  -i /data/videos/1080p/Cactus_1920x1080_50.yuv --FramesToBeEncoded=60 > Cactus50_37_13,Cactus50_37_13,Cactus50
358,/data/videos/1080p/Cactus_1920x1080_50.yuv,8,50,1920,1080,37,23,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=37 -c sequence.cfg  -i /data/videos/1080p/Cactus_1920x1080_50.yuv --FramesToBeEncoded=60 > Cactus50_37_23,Cactus50_37_23,Cactus50
359,/data/videos/1080p/Cactus_1920x1080_50.yuv,8,50,1920,1080,37,14,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=37 -c sequence.cfg  -i /data/videos/1080p/Cactus_1920x1080_50.yuv --FramesToBeEncoded=60 > Cactus50_37_14,Cactus50_37_14,Cactus50
360,/data/videos/1080p/Cactus_1920x1080_50.yuv,8,50,1920,1080,37,24,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=37 -c sequence.cfg  -i /data/videos/1080p/Cactus_1920x1080_50.yuv --FramesToBeEncoded=60 > Cactus50_37_24,Cactus50_37_24,Cactus50
