linha,sequencia,bit,framerate,SourceWidth,SourceHeight,qp,subtrator,linhacomando,resultado,video
433,/data/videos/4k/Coastguard_3840x2160_60fps.yuv,8,60,3840,2160,22,51,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/4k/Coastguard_3840x2160_60fps.yuv --FramesToBeEncoded=60 > Coastguard_22_51,Coastguard_22_51,Coastguard
434,/data/videos/4k/Coastguard_3840x2160_60fps.yuv,8,60,3840,2160,22,11,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/4k/Coastguard_3840x2160_60fps.yuv --FramesToBeEncoded=60 > Coastguard_22_11,Coastguard_22_11,Coastguard
435,/data/videos/4k/Coastguard_3840x2160_60fps.yuv,8,60,3840,2160,22,21,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/4k/Coastguard_3840x2160_60fps.yuv --FramesToBeEncoded=60 > Coastguard_22_21,Coastguard_22_21,Coastguard
436,/data/videos/4k/Coastguard_3840x2160_60fps.yuv,8,60,3840,2160,22,12,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/4k/Coastguard_3840x2160_60fps.yuv --FramesToBeEncoded=60 > Coastguard_22_12,Coastguard_22_12,Coastguard
437,/data/videos/4k/Coastguard_3840x2160_60fps.yuv,8,60,3840,2160,22,22,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/4k/Coastguard_3840x2160_60fps.yuv --FramesToBeEncoded=60 > Coastguard_22_22,Coastguard_22_22,Coastguard
438,/data/videos/4k/Coastguard_3840x2160_60fps.yuv,8,60,3840,2160,22,13,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/4k/Coastguard_3840x2160_60fps.yuv --FramesToBeEncoded=60 > Coastguard_22_13,Coastguard_22_13,Coastguard
439,/data/videos/4k/Coastguard_3840x2160_60fps.yuv,8,60,3840,2160,22,23,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/4k/Coastguard_3840x2160_60fps.yuv --FramesToBeEncoded=60 > Coastguard_22_23,Coastguard_22_23,Coastguard
440,/data/videos/4k/Coastguard_3840x2160_60fps.yuv,8,60,3840,2160,22,14,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/4k/Coastguard_3840x2160_60fps.yuv --FramesToBeEncoded=60 > Coastguard_22_14,Coastguard_22_14,Coastguard
441,/data/videos/4k/Coastguard_3840x2160_60fps.yuv,8,60,3840,2160,22,24,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/4k/Coastguard_3840x2160_60fps.yuv --FramesToBeEncoded=60 > Coastguard_22_24,Coastguard_22_24,Coastguard
442,/data/videos/4k/Coastguard_3840x2160_60fps.yuv,8,60,3840,2160,27,51,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=27 -c sequence.cfg  -i /data/videos/4k/Coastguard_3840x2160_60fps.yuv --FramesToBeEncoded=60 > Coastguard_27_51,Coastguard_27_51,Coastguard
443,/data/videos/4k/Coastguard_3840x2160_60fps.yuv,8,60,3840,2160,27,11,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=27 -c sequence.cfg  -i /data/videos/4k/Coastguard_3840x2160_60fps.yuv --FramesToBeEncoded=60 > Coastguard_27_11,Coastguard_27_11,Coastguard
444,/data/videos/4k/Coastguard_3840x2160_60fps.yuv,8,60,3840,2160,27,21,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=27 -c sequence.cfg  -i /data/videos/4k/Coastguard_3840x2160_60fps.yuv --FramesToBeEncoded=60 > Coastguard_27_21,Coastguard_27_21,Coastguard
445,/data/videos/4k/Coastguard_3840x2160_60fps.yuv,8,60,3840,2160,27,12,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=27 -c sequence.cfg  -i /data/videos/4k/Coastguard_3840x2160_60fps.yuv --FramesToBeEncoded=60 > Coastguard_27_12,Coastguard_27_12,Coastguard
446,/data/videos/4k/Coastguard_3840x2160_60fps.yuv,8,60,3840,2160,27,22,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=27 -c sequence.cfg  -i /data/videos/4k/Coastguard_3840x2160_60fps.yuv --FramesToBeEncoded=60 > Coastguard_27_22,Coastguard_27_22,Coastguard
447,/data/videos/4k/Coastguard_3840x2160_60fps.yuv,8,60,3840,2160,27,13,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=27 -c sequence.cfg  -i /data/videos/4k/Coastguard_3840x2160_60fps.yuv --FramesToBeEncoded=60 > Coastguard_27_13,Coastguard_27_13,Coastguard
448,/data/videos/4k/Coastguard_3840x2160_60fps.yuv,8,60,3840,2160,27,23,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=27 -c sequence.cfg  -i /data/videos/4k/Coastguard_3840x2160_60fps.yuv --FramesToBeEncoded=60 > Coastguard_27_23,Coastguard_27_23,Coastguard
449,/data/videos/4k/Coastguard_3840x2160_60fps.yuv,8,60,3840,2160,27,14,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=27 -c sequence.cfg  -i /data/videos/4k/Coastguard_3840x2160_60fps.yuv --FramesToBeEncoded=60 > Coastguard_27_14,Coastguard_27_14,Coastguard
450,/data/videos/4k/Coastguard_3840x2160_60fps.yuv,8,60,3840,2160,27,24,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=27 -c sequence.cfg  -i /data/videos/4k/Coastguard_3840x2160_60fps.yuv --FramesToBeEncoded=60 > Coastguard_27_24,Coastguard_27_24,Coastguard
451,/data/videos/4k/Coastguard_3840x2160_60fps.yuv,8,60,3840,2160,32,51,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=32 -c sequence.cfg  -i /data/videos/4k/Coastguard_3840x2160_60fps.yuv --FramesToBeEncoded=60 > Coastguard_32_51,Coastguard_32_51,Coastguard
452,/data/videos/4k/Coastguard_3840x2160_60fps.yuv,8,60,3840,2160,32,11,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=32 -c sequence.cfg  -i /data/videos/4k/Coastguard_3840x2160_60fps.yuv --FramesToBeEncoded=60 > Coastguard_32_11,Coastguard_32_11,Coastguard
453,/data/videos/4k/Coastguard_3840x2160_60fps.yuv,8,60,3840,2160,32,21,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=32 -c sequence.cfg  -i /data/videos/4k/Coastguard_3840x2160_60fps.yuv --FramesToBeEncoded=60 > Coastguard_32_21,Coastguard_32_21,Coastguard
454,/data/videos/4k/Coastguard_3840x2160_60fps.yuv,8,60,3840,2160,32,12,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=32 -c sequence.cfg  -i /data/videos/4k/Coastguard_3840x2160_60fps.yuv --FramesToBeEncoded=60 > Coastguard_32_12,Coastguard_32_12,Coastguard
455,/data/videos/4k/Coastguard_3840x2160_60fps.yuv,8,60,3840,2160,32,22,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=32 -c sequence.cfg  -i /data/videos/4k/Coastguard_3840x2160_60fps.yuv --FramesToBeEncoded=60 > Coastguard_32_22,Coastguard_32_22,Coastguard
456,/data/videos/4k/Coastguard_3840x2160_60fps.yuv,8,60,3840,2160,32,13,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=32 -c sequence.cfg  -i /data/videos/4k/Coastguard_3840x2160_60fps.yuv --FramesToBeEncoded=60 > Coastguard_32_13,Coastguard_32_13,Coastguard
457,/data/videos/4k/Coastguard_3840x2160_60fps.yuv,8,60,3840,2160,32,23,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=32 -c sequence.cfg  -i /data/videos/4k/Coastguard_3840x2160_60fps.yuv --FramesToBeEncoded=60 > Coastguard_32_23,Coastguard_32_23,Coastguard
