linha,sequencia,bit,framerate,SourceWidth,SourceHeight,qp,subtrator,linhacomando,resultado,video
469,/data/videos/1080p/CrowdRun_1920x1080_25.yuv,8,25,1920,1080,22,51,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/1080p/CrowdRun_1920x1080_25.yuv --FramesToBeEncoded=60 > CrowdRun_22_51,CrowdRun_22_51,CrowdRun
470,/data/videos/1080p/CrowdRun_1920x1080_25.yuv,8,25,1920,1080,22,11,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/1080p/CrowdRun_1920x1080_25.yuv --FramesToBeEncoded=60 > CrowdRun_22_11,CrowdRun_22_11,CrowdRun
471,/data/videos/1080p/CrowdRun_1920x1080_25.yuv,8,25,1920,1080,22,21,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/1080p/CrowdRun_1920x1080_25.yuv --FramesToBeEncoded=60 > CrowdRun_22_21,CrowdRun_22_21,CrowdRun
472,/data/videos/1080p/CrowdRun_1920x1080_25.yuv,8,25,1920,1080,22,12,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/1080p/CrowdRun_1920x1080_25.yuv --FramesToBeEncoded=60 > CrowdRun_22_12,CrowdRun_22_12,CrowdRun
473,/data/videos/1080p/CrowdRun_1920x1080_25.yuv,8,25,1920,1080,22,22,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/1080p/CrowdRun_1920x1080_25.yuv --FramesToBeEncoded=60 > CrowdRun_22_22,CrowdRun_22_22,CrowdRun
474,/data/videos/1080p/CrowdRun_1920x1080_25.yuv,8,25,1920,1080,22,13,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/1080p/CrowdRun_1920x1080_25.yuv --FramesToBeEncoded=60 > CrowdRun_22_13,CrowdRun_22_13,CrowdRun
475,/data/videos/1080p/CrowdRun_1920x1080_25.yuv,8,25,1920,1080,22,23,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/1080p/CrowdRun_1920x1080_25.yuv --FramesToBeEncoded=60 > CrowdRun_22_23,CrowdRun_22_23,CrowdRun
476,/data/videos/1080p/CrowdRun_1920x1080_25.yuv,8,25,1920,1080,22,14,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/1080p/CrowdRun_1920x1080_25.yuv --FramesToBeEncoded=60 > CrowdRun_22_14,CrowdRun_22_14,CrowdRun
477,/data/videos/1080p/CrowdRun_1920x1080_25.yuv,8,25,1920,1080,22,24,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/1080p/CrowdRun_1920x1080_25.yuv --FramesToBeEncoded=60 > CrowdRun_22_24,CrowdRun_22_24,CrowdRun
478,/data/videos/1080p/CrowdRun_1920x1080_25.yuv,8,25,1920,1080,27,51,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=27 -c sequence.cfg  -i /data/videos/1080p/CrowdRun_1920x1080_25.yuv --FramesToBeEncoded=60 > CrowdRun_27_51,CrowdRun_27_51,CrowdRun
479,/data/videos/1080p/CrowdRun_1920x1080_25.yuv,8,25,1920,1080,27,11,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=27 -c sequence.cfg  -i /data/videos/1080p/CrowdRun_1920x1080_25.yuv --FramesToBeEncoded=60 > CrowdRun_27_11,CrowdRun_27_11,CrowdRun
480,/data/videos/1080p/CrowdRun_1920x1080_25.yuv,8,25,1920,1080,27,21,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=27 -c sequence.cfg  -i /data/videos/1080p/CrowdRun_1920x1080_25.yuv --FramesToBeEncoded=60 > CrowdRun_27_21,CrowdRun_27_21,CrowdRun
481,/data/videos/1080p/CrowdRun_1920x1080_25.yuv,8,25,1920,1080,27,12,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=27 -c sequence.cfg  -i /data/videos/1080p/CrowdRun_1920x1080_25.yuv --FramesToBeEncoded=60 > CrowdRun_27_12,CrowdRun_27_12,CrowdRun
482,/data/videos/1080p/CrowdRun_1920x1080_25.yuv,8,25,1920,1080,27,22,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=27 -c sequence.cfg  -i /data/videos/1080p/CrowdRun_1920x1080_25.yuv --FramesToBeEncoded=60 > CrowdRun_27_22,CrowdRun_27_22,CrowdRun
483,/data/videos/1080p/CrowdRun_1920x1080_25.yuv,8,25,1920,1080,27,13,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=27 -c sequence.cfg  -i /data/videos/1080p/CrowdRun_1920x1080_25.yuv --FramesToBeEncoded=60 > CrowdRun_27_13,CrowdRun_27_13,CrowdRun
484,/data/videos/1080p/CrowdRun_1920x1080_25.yuv,8,25,1920,1080,27,23,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=27 -c sequence.cfg  -i /data/videos/1080p/CrowdRun_1920x1080_25.yuv --FramesToBeEncoded=60 > CrowdRun_27_23,CrowdRun_27_23,CrowdRun
485,/data/videos/1080p/CrowdRun_1920x1080_25.yuv,8,25,1920,1080,27,14,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=27 -c sequence.cfg  -i /data/videos/1080p/CrowdRun_1920x1080_25.yuv --FramesToBeEncoded=60 > CrowdRun_27_14,CrowdRun_27_14,CrowdRun
486,/data/videos/1080p/CrowdRun_1920x1080_25.yuv,8,25,1920,1080,27,24,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=27 -c sequence.cfg  -i /data/videos/1080p/CrowdRun_1920x1080_25.yuv --FramesToBeEncoded=60 > CrowdRun_27_24,CrowdRun_27_24,CrowdRun
