linha,sequencia,bit,framerate,SourceWidth,SourceHeight,qp,subtrator,linhacomando,resultado,video
577,/data/videos/4k/Foreman_3840x2160_60fps.yuv,8,60,3840,2160,22,51,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/4k/Foreman_3840x2160_60fps.yuv --FramesToBeEncoded=60 > Foreman_22_51,Foreman_22_51,Foreman
578,/data/videos/4k/Foreman_3840x2160_60fps.yuv,8,60,3840,2160,22,11,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/4k/Foreman_3840x2160_60fps.yuv --FramesToBeEncoded=60 > Foreman_22_11,Foreman_22_11,Foreman
579,/data/videos/4k/Foreman_3840x2160_60fps.yuv,8,60,3840,2160,22,21,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/4k/Foreman_3840x2160_60fps.yuv --FramesToBeEncoded=60 > Foreman_22_21,Foreman_22_21,Foreman
580,/data/videos/4k/Foreman_3840x2160_60fps.yuv,8,60,3840,2160,22,12,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/4k/Foreman_3840x2160_60fps.yuv --FramesToBeEncoded=60 > Foreman_22_12,Foreman_22_12,Foreman
581,/data/videos/4k/Foreman_3840x2160_60fps.yuv,8,60,3840,2160,22,22,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/4k/Foreman_3840x2160_60fps.yuv --FramesToBeEncoded=60 > Foreman_22_22,Foreman_22_22,Foreman
582,/data/videos/4k/Foreman_3840x2160_60fps.yuv,8,60,3840,2160,22,13,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/4k/Foreman_3840x2160_60fps.yuv --FramesToBeEncoded=60 > Foreman_22_13,Foreman_22_13,Foreman
583,/data/videos/4k/Foreman_3840x2160_60fps.yuv,8,60,3840,2160,22,23,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/4k/Foreman_3840x2160_60fps.yuv --FramesToBeEncoded=60 > Foreman_22_23,Foreman_22_23,Foreman
584,/data/videos/4k/Foreman_3840x2160_60fps.yuv,8,60,3840,2160,22,14,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/4k/Foreman_3840x2160_60fps.yuv --FramesToBeEncoded=60 > Foreman_22_14,Foreman_22_14,Foreman
585,/data/videos/4k/Foreman_3840x2160_60fps.yuv,8,60,3840,2160,22,24,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/4k/Foreman_3840x2160_60fps.yuv --FramesToBeEncoded=60 > Foreman_22_24,Foreman_22_24,Foreman
586,/data/videos/4k/Foreman_3840x2160_60fps.yuv,8,60,3840,2160,27,51,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=27 -c sequence.cfg  -i /data/videos/4k/Foreman_3840x2160_60fps.yuv --FramesToBeEncoded=60 > Foreman_27_51,Foreman_27_51,Foreman
