linha,sequencia,bit,framerate,SourceWidth,SourceHeight,qp,subtrator,linhacomando,resultado,video
109,/data/videos/720p/FourPeople_1280x720_60.yuv,8,60,1280,720,22,51,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/720p/FourPeople_1280x720_60.yuv --FramesToBeEncoded=60 > FourPeople_22_51,FourPeople_22_51,FourPeople
110,/data/videos/720p/FourPeople_1280x720_60.yuv,8,60,1280,720,22,11,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/720p/FourPeople_1280x720_60.yuv --FramesToBeEncoded=60 > FourPeople_22_11,FourPeople_22_11,FourPeople
111,/data/videos/720p/FourPeople_1280x720_60.yuv,8,60,1280,720,22,21,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/720p/FourPeople_1280x720_60.yuv --FramesToBeEncoded=60 > FourPeople_22_21,FourPeople_22_21,FourPeople
112,/data/videos/720p/FourPeople_1280x720_60.yuv,8,60,1280,720,22,12,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/720p/FourPeople_1280x720_60.yuv --FramesToBeEncoded=60 > FourPeople_22_12,FourPeople_22_12,FourPeople
113,/data/videos/720p/FourPeople_1280x720_60.yuv,8,60,1280,720,22,22,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/720p/FourPeople_1280x720_60.yuv --FramesToBeEncoded=60 > FourPeople_22_22,FourPeople_22_22,FourPeople
114,/data/videos/720p/FourPeople_1280x720_60.yuv,8,60,1280,720,22,13,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/720p/FourPeople_1280x720_60.yuv --FramesToBeEncoded=60 > FourPeople_22_13,FourPeople_22_13,FourPeople
115,/data/videos/720p/FourPeople_1280x720_60.yuv,8,60,1280,720,22,23,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/720p/FourPeople_1280x720_60.yuv --FramesToBeEncoded=60 > FourPeople_22_23,FourPeople_22_23,FourPeople
116,/data/videos/720p/FourPeople_1280x720_60.yuv,8,60,1280,720,22,14,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/720p/FourPeople_1280x720_60.yuv --FramesToBeEncoded=60 > FourPeople_22_14,FourPeople_22_14,FourPeople
117,/data/videos/720p/FourPeople_1280x720_60.yuv,8,60,1280,720,22,24,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/720p/FourPeople_1280x720_60.yuv --FramesToBeEncoded=60 > FourPeople_22_24,FourPeople_22_24,FourPeople
118,/data/videos/720p/FourPeople_1280x720_60.yuv,8,60,1280,720,27,51,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=27 -c sequence.cfg  -i /data/videos/720p/FourPeople_1280x720_60.yuv --FramesToBeEncoded=60 > FourPeople_27_51,FourPeople_27_51,FourPeople
119,/data/videos/720p/FourPeople_1280x720_60.yuv,8,60,1280,720,27,11,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=27 -c sequence.cfg  -i /data/videos/720p/FourPeople_1280x720_60.yuv --FramesToBeEncoded=60 > FourPeople_27_11,FourPeople_27_11,FourPeople
120,/data/videos/720p/FourPeople_1280x720_60.yuv,8,60,1280,720,27,21,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=27 -c sequence.cfg  -i /data/videos/720p/FourPeople_1280x720_60.yuv --FramesToBeEncoded=60 > FourPeople_27_21,FourPeople_27_21,FourPeople
121,/data/videos/720p/FourPeople_1280x720_60.yuv,8,60,1280,720,27,12,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=27 -c sequence.cfg  -i /data/videos/720p/FourPeople_1280x720_60.yuv --FramesToBeEncoded=60 > FourPeople_27_12,FourPeople_27_12,FourPeople
122,/data/videos/720p/FourPeople_1280x720_60.yuv,8,60,1280,720,27,22,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=27 -c sequence.cfg  -i /data/videos/720p/FourPeople_1280x720_60.yuv --FramesToBeEncoded=60 > FourPeople_27_22,FourPeople_27_22,FourPeople
123,/data/videos/720p/FourPeople_1280x720_60.yuv,8,60,1280,720,27,13,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=27 -c sequence.cfg  -i /data/videos/720p/FourPeople_1280x720_60.yuv --FramesToBeEncoded=60 > FourPeople_27_13,FourPeople_27_13,FourPeople
124,/data/videos/720p/FourPeople_1280x720_60.yuv,8,60,1280,720,27,23,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=27 -c sequence.cfg  -i /data/videos/720p/FourPeople_1280x720_60.yuv --FramesToBeEncoded=60 > FourPeople_27_23,FourPeople_27_23,FourPeople
125,/data/videos/720p/FourPeople_1280x720_60.yuv,8,60,1280,720,27,14,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=27 -c sequence.cfg  -i /data/videos/720p/FourPeople_1280x720_60.yuv --FramesToBeEncoded=60 > FourPeople_27_14,FourPeople_27_14,FourPeople
126,/data/videos/720p/FourPeople_1280x720_60.yuv,8,60,1280,720,27,24,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=27 -c sequence.cfg  -i /data/videos/720p/FourPeople_1280x720_60.yuv --FramesToBeEncoded=60 > FourPeople_27_24,FourPeople_27_24,FourPeople
127,/data/videos/720p/FourPeople_1280x720_60.yuv,8,60,1280,720,32,51,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=32 -c sequence.cfg  -i /data/videos/720p/FourPeople_1280x720_60.yuv --FramesToBeEncoded=60 > FourPeople_32_51,FourPeople_32_51,FourPeople
128,/data/videos/720p/FourPeople_1280x720_60.yuv,8,60,1280,720,32,11,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=32 -c sequence.cfg  -i /data/videos/720p/FourPeople_1280x720_60.yuv --FramesToBeEncoded=60 > FourPeople_32_11,FourPeople_32_11,FourPeople
129,/data/videos/720p/FourPeople_1280x720_60.yuv,8,60,1280,720,32,21,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=32 -c sequence.cfg  -i /data/videos/720p/FourPeople_1280x720_60.yuv --FramesToBeEncoded=60 > FourPeople_32_21,FourPeople_32_21,FourPeople
130,/data/videos/720p/FourPeople_1280x720_60.yuv,8,60,1280,720,32,12,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=32 -c sequence.cfg  -i /data/videos/720p/FourPeople_1280x720_60.yuv --FramesToBeEncoded=60 > FourPeople_32_12,FourPeople_32_12,FourPeople
131,/data/videos/720p/FourPeople_1280x720_60.yuv,8,60,1280,720,32,22,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=32 -c sequence.cfg  -i /data/videos/720p/FourPeople_1280x720_60.yuv --FramesToBeEncoded=60 > FourPeople_32_22,FourPeople_32_22,FourPeople
132,/data/videos/720p/FourPeople_1280x720_60.yuv,8,60,1280,720,32,13,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=32 -c sequence.cfg  -i /data/videos/720p/FourPeople_1280x720_60.yuv --FramesToBeEncoded=60 > FourPeople_32_13,FourPeople_32_13,FourPeople
