linha,sequencia,bit,framerate,SourceWidth,SourceHeight,qp,subtrator,linhacomando,resultado,video
685,/data/videos/4k/HoneyBee_3840x2160_120fps_420_10bit_YUV.yuv,10,120,3840,2160,22,51,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/4k/HoneyBee_3840x2160_120fps_420_10bit_YUV.yuv --FramesToBeEncoded=60 > HoneyBee_22_51,HoneyBee_22_51,HoneyBee
686,/data/videos/4k/HoneyBee_3840x2160_120fps_420_10bit_YUV.yuv,10,120,3840,2160,22,11,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/4k/HoneyBee_3840x2160_120fps_420_10bit_YUV.yuv --FramesToBeEncoded=60 > HoneyBee_22_11,HoneyBee_22_11,HoneyBee
687,/data/videos/4k/HoneyBee_3840x2160_120fps_420_10bit_YUV.yuv,10,120,3840,2160,22,21,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/4k/HoneyBee_3840x2160_120fps_420_10bit_YUV.yuv --FramesToBeEncoded=60 > HoneyBee_22_21,HoneyBee_22_21,HoneyBee
688,/data/videos/4k/HoneyBee_3840x2160_120fps_420_10bit_YUV.yuv,10,120,3840,2160,22,12,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/4k/HoneyBee_3840x2160_120fps_420_10bit_YUV.yuv --FramesToBeEncoded=60 > HoneyBee_22_12,HoneyBee_22_12,HoneyBee
689,/data/videos/4k/HoneyBee_3840x2160_120fps_420_10bit_YUV.yuv,10,120,3840,2160,22,22,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/4k/HoneyBee_3840x2160_120fps_420_10bit_YUV.yuv --FramesToBeEncoded=60 > HoneyBee_22_22,HoneyBee_22_22,HoneyBee
690,/data/videos/4k/HoneyBee_3840x2160_120fps_420_10bit_YUV.yuv,10,120,3840,2160,22,13,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/4k/HoneyBee_3840x2160_120fps_420_10bit_YUV.yuv --FramesToBeEncoded=60 > HoneyBee_22_13,HoneyBee_22_13,HoneyBee
691,/data/videos/4k/HoneyBee_3840x2160_120fps_420_10bit_YUV.yuv,10,120,3840,2160,22,23,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/4k/HoneyBee_3840x2160_120fps_420_10bit_YUV.yuv --FramesToBeEncoded=60 > HoneyBee_22_23,HoneyBee_22_23,HoneyBee
692,/data/videos/4k/HoneyBee_3840x2160_120fps_420_10bit_YUV.yuv,10,120,3840,2160,22,14,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/4k/HoneyBee_3840x2160_120fps_420_10bit_YUV.yuv --FramesToBeEncoded=60 > HoneyBee_22_14,HoneyBee_22_14,HoneyBee
693,/data/videos/4k/HoneyBee_3840x2160_120fps_420_10bit_YUV.yuv,10,120,3840,2160,22,24,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/4k/HoneyBee_3840x2160_120fps_420_10bit_YUV.yuv --FramesToBeEncoded=60 > HoneyBee_22_24,HoneyBee_22_24,HoneyBee
694,/data/videos/4k/HoneyBee_3840x2160_120fps_420_10bit_YUV.yuv,10,120,3840,2160,27,51,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=27 -c sequence.cfg  -i /data/videos/4k/HoneyBee_3840x2160_120fps_420_10bit_YUV.yuv --FramesToBeEncoded=60 > HoneyBee_27_51,HoneyBee_27_51,HoneyBee
