linha,sequencia,bit,framerate,SourceWidth,SourceHeight,qp,subtrator,linhacomando,resultado,video
793,/data/videos/4k/Jockey_3840x2160_120fps_420_10bit_YUV.yuv,10,120,3840,2160,22,51,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/4k/Jockey_3840x2160_120fps_420_10bit_YUV.yuv --FramesToBeEncoded=60 > Jockey_22_51,Jockey_22_51,Jockey
794,/data/videos/4k/Jockey_3840x2160_120fps_420_10bit_YUV.yuv,10,120,3840,2160,22,11,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/4k/Jockey_3840x2160_120fps_420_10bit_YUV.yuv --FramesToBeEncoded=60 > Jockey_22_11,Jockey_22_11,Jockey
795,/data/videos/4k/Jockey_3840x2160_120fps_420_10bit_YUV.yuv,10,120,3840,2160,22,21,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/4k/Jockey_3840x2160_120fps_420_10bit_YUV.yuv --FramesToBeEncoded=60 > Jockey_22_21,Jockey_22_21,Jockey
796,/data/videos/4k/Jockey_3840x2160_120fps_420_10bit_YUV.yuv,10,120,3840,2160,22,12,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/4k/Jockey_3840x2160_120fps_420_10bit_YUV.yuv --FramesToBeEncoded=60 > Jockey_22_12,Jockey_22_12,Jockey
797,/data/videos/4k/Jockey_3840x2160_120fps_420_10bit_YUV.yuv,10,120,3840,2160,22,22,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/4k/Jockey_3840x2160_120fps_420_10bit_YUV.yuv --FramesToBeEncoded=60 > Jockey_22_22,Jockey_22_22,Jockey
798,/data/videos/4k/Jockey_3840x2160_120fps_420_10bit_YUV.yuv,10,120,3840,2160,22,13,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/4k/Jockey_3840x2160_120fps_420_10bit_YUV.yuv --FramesToBeEncoded=60 > Jockey_22_13,Jockey_22_13,Jockey
799,/data/videos/4k/Jockey_3840x2160_120fps_420_10bit_YUV.yuv,10,120,3840,2160,22,23,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/4k/Jockey_3840x2160_120fps_420_10bit_YUV.yuv --FramesToBeEncoded=60 > Jockey_22_23,Jockey_22_23,Jockey
800,/data/videos/4k/Jockey_3840x2160_120fps_420_10bit_YUV.yuv,10,120,3840,2160,22,14,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/4k/Jockey_3840x2160_120fps_420_10bit_YUV.yuv --FramesToBeEncoded=60 > Jockey_22_14,Jockey_22_14,Jockey
801,/data/videos/4k/Jockey_3840x2160_120fps_420_10bit_YUV.yuv,10,120,3840,2160,22,24,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/4k/Jockey_3840x2160_120fps_420_10bit_YUV.yuv --FramesToBeEncoded=60 > Jockey_22_24,Jockey_22_24,Jockey
802,/data/videos/4k/Jockey_3840x2160_120fps_420_10bit_YUV.yuv,10,120,3840,2160,27,51,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=27 -c sequence.cfg  -i /data/videos/4k/Jockey_3840x2160_120fps_420_10bit_YUV.yuv --FramesToBeEncoded=60 > Jockey_27_51,Jockey_27_51,Jockey
803,/data/videos/4k/Jockey_3840x2160_120fps_420_10bit_YUV.yuv,10,120,3840,2160,27,11,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=27 -c sequence.cfg  -i /data/videos/4k/Jockey_3840x2160_120fps_420_10bit_YUV.yuv --FramesToBeEncoded=60 > Jockey_27_11,Jockey_27_11,Jockey
804,/data/videos/4k/Jockey_3840x2160_120fps_420_10bit_YUV.yuv,10,120,3840,2160,27,21,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=27 -c sequence.cfg  -i /data/videos/4k/Jockey_3840x2160_120fps_420_10bit_YUV.yuv --FramesToBeEncoded=60 > Jockey_27_21,Jockey_27_21,Jockey
805,/data/videos/4k/Jockey_3840x2160_120fps_420_10bit_YUV.yuv,10,120,3840,2160,27,12,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=27 -c sequence.cfg  -i /data/videos/4k/Jockey_3840x2160_120fps_420_10bit_YUV.yuv --FramesToBeEncoded=60 > Jockey_27_12,Jockey_27_12,Jockey
806,/data/videos/4k/Jockey_3840x2160_120fps_420_10bit_YUV.yuv,10,120,3840,2160,27,22,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=27 -c sequence.cfg  -i /data/videos/4k/Jockey_3840x2160_120fps_420_10bit_YUV.yuv --FramesToBeEncoded=60 > Jockey_27_22,Jockey_27_22,Jockey
807,/data/videos/4k/Jockey_3840x2160_120fps_420_10bit_YUV.yuv,10,120,3840,2160,27,13,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=27 -c sequence.cfg  -i /data/videos/4k/Jockey_3840x2160_120fps_420_10bit_YUV.yuv --FramesToBeEncoded=60 > Jockey_27_13,Jockey_27_13,Jockey
808,/data/videos/4k/Jockey_3840x2160_120fps_420_10bit_YUV.yuv,10,120,3840,2160,27,23,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=27 -c sequence.cfg  -i /data/videos/4k/Jockey_3840x2160_120fps_420_10bit_YUV.yuv --FramesToBeEncoded=60 > Jockey_27_23,Jockey_27_23,Jockey
809,/data/videos/4k/Jockey_3840x2160_120fps_420_10bit_YUV.yuv,10,120,3840,2160,27,14,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=27 -c sequence.cfg  -i /data/videos/4k/Jockey_3840x2160_120fps_420_10bit_YUV.yuv --FramesToBeEncoded=60 > Jockey_27_14,Jockey_27_14,Jockey
