linha,sequencia,bit,framerate,SourceWidth,SourceHeight,qp,subtrator,linhacomando,resultado,video
253,/data/videos/720p/Johnny_1280x720_60.yuv,8,60,1280,720,22,51,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/720p/Johnny_1280x720_60.yuv --FramesToBeEncoded=60 > Johnny_22_51,Johnny_22_51,Johnny
254,/data/videos/720p/Johnny_1280x720_60.yuv,8,60,1280,720,22,11,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/720p/Johnny_1280x720_60.yuv --FramesToBeEncoded=60 > Johnny_22_11,Johnny_22_11,Johnny
255,/data/videos/720p/Johnny_1280x720_60.yuv,8,60,1280,720,22,21,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/720p/Johnny_1280x720_60.yuv --FramesToBeEncoded=60 > Johnny_22_21,Johnny_22_21,Johnny
256,/data/videos/720p/Johnny_1280x720_60.yuv,8,60,1280,720,22,12,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/720p/Johnny_1280x720_60.yuv --FramesToBeEncoded=60 > Johnny_22_12,Johnny_22_12,Johnny
257,/data/videos/720p/Johnny_1280x720_60.yuv,8,60,1280,720,22,22,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/720p/Johnny_1280x720_60.yuv --FramesToBeEncoded=60 > Johnny_22_22,Johnny_22_22,Johnny
258,/data/videos/720p/Johnny_1280x720_60.yuv,8,60,1280,720,22,13,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/720p/Johnny_1280x720_60.yuv --FramesToBeEncoded=60 > Johnny_22_13,Johnny_22_13,Johnny
259,/data/videos/720p/Johnny_1280x720_60.yuv,8,60,1280,720,22,23,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/720p/Johnny_1280x720_60.yuv --FramesToBeEncoded=60 > Johnny_22_23,Johnny_22_23,Johnny
260,/data/videos/720p/Johnny_1280x720_60.yuv,8,60,1280,720,22,14,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/720p/Johnny_1280x720_60.yuv --FramesToBeEncoded=60 > Johnny_22_14,Johnny_22_14,Johnny
261,/data/videos/720p/Johnny_1280x720_60.yuv,8,60,1280,720,22,24,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/720p/Johnny_1280x720_60.yuv --FramesToBeEncoded=60 > Johnny_22_24,Johnny_22_24,Johnny
262,/data/videos/720p/Johnny_1280x720_60.yuv,8,60,1280,720,27,51,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=27 -c sequence.cfg  -i /data/videos/720p/Johnny_1280x720_60.yuv --FramesToBeEncoded=60 > Johnny_27_51,Johnny_27_51,Johnny
263,/data/videos/720p/Johnny_1280x720_60.yuv,8,60,1280,720,27,11,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=27 -c sequence.cfg  -i /data/videos/720p/Johnny_1280x720_60.yuv --FramesToBeEncoded=60 > Johnny_27_11,Johnny_27_11,Johnny
264,/data/videos/720p/Johnny_1280x720_60.yuv,8,60,1280,720,27,21,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=27 -c sequence.cfg  -i /data/videos/720p/Johnny_1280x720_60.yuv --FramesToBeEncoded=60 > Johnny_27_21,Johnny_27_21,Johnny
265,/data/videos/720p/Johnny_1280x720_60.yuv,8,60,1280,720,27,12,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=27 -c sequence.cfg  -i /data/videos/720p/Johnny_1280x720_60.yuv --FramesToBeEncoded=60 > Johnny_27_12,Johnny_27_12,Johnny
266,/data/videos/720p/Johnny_1280x720_60.yuv,8,60,1280,720,27,22,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=27 -c sequence.cfg  -i /data/videos/720p/Johnny_1280x720_60.yuv --FramesToBeEncoded=60 > Johnny_27_22,Johnny_27_22,Johnny
267,/data/videos/720p/Johnny_1280x720_60.yuv,8,60,1280,720,27,13,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=27 -c sequence.cfg  -i /data/videos/720p/Johnny_1280x720_60.yuv --FramesToBeEncoded=60 > Johnny_27_13,Johnny_27_13,Johnny
268,/data/videos/720p/Johnny_1280x720_60.yuv,8,60,1280,720,27,23,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=27 -c sequence.cfg  -i /data/videos/720p/Johnny_1280x720_60.yuv --FramesToBeEncoded=60 > Johnny_27_23,Johnny_27_23,Johnny
269,/data/videos/720p/Johnny_1280x720_60.yuv,8,60,1280,720,27,14,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=27 -c sequence.cfg  -i /data/videos/720p/Johnny_1280x720_60.yuv --FramesToBeEncoded=60 > Johnny_27_14,Johnny_27_14,Johnny
270,/data/videos/720p/Johnny_1280x720_60.yuv,8,60,1280,720,27,24,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=27 -c sequence.cfg  -i /data/videos/720p/Johnny_1280x720_60.yuv --FramesToBeEncoded=60 > Johnny_27_24,Johnny_27_24,Johnny
271,/data/videos/720p/Johnny_1280x720_60.yuv,8,60,1280,720,32,51,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=32 -c sequence.cfg  -i /data/videos/720p/Johnny_1280x720_60.yuv --FramesToBeEncoded=60 > Johnny_32_51,Johnny_32_51,Johnny
272,/data/videos/720p/Johnny_1280x720_60.yuv,8,60,1280,720,32,11,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=32 -c sequence.cfg  -i /data/videos/720p/Johnny_1280x720_60.yuv --FramesToBeEncoded=60 > Johnny_32_11,Johnny_32_11,Johnny
273,/data/videos/720p/Johnny_1280x720_60.yuv,8,60,1280,720,32,21,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=32 -c sequence.cfg  -i /data/videos/720p/Johnny_1280x720_60.yuv --FramesToBeEncoded=60 > Johnny_32_21,Johnny_32_21,Johnny
274,/data/videos/720p/Johnny_1280x720_60.yuv,8,60,1280,720,32,12,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=32 -c sequence.cfg  -i /data/videos/720p/Johnny_1280x720_60.yuv --FramesToBeEncoded=60 > Johnny_32_12,Johnny_32_12,Johnny
275,/data/videos/720p/Johnny_1280x720_60.yuv,8,60,1280,720,32,22,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=32 -c sequence.cfg  -i /data/videos/720p/Johnny_1280x720_60.yuv --FramesToBeEncoded=60 > Johnny_32_22,Johnny_32_22,Johnny
