linha,sequencia,bit,framerate,SourceWidth,SourceHeight,qp,subtrator,linhacomando,resultado,video
613,/data/videos/1080p/Kimono1_1920x1080_24.yuv,8,24,1920,1080,22,51,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/1080p/Kimono1_1920x1080_24.yuv --FramesToBeEncoded=60 > Kimono_22_51,Kimono_22_51,Kimono
614,/data/videos/1080p/Kimono1_1920x1080_24.yuv,8,24,1920,1080,22,11,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/1080p/Kimono1_1920x1080_24.yuv --FramesToBeEncoded=60 > Kimono_22_11,Kimono_22_11,Kimono
615,/data/videos/1080p/Kimono1_1920x1080_24.yuv,8,24,1920,1080,22,21,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/1080p/Kimono1_1920x1080_24.yuv --FramesToBeEncoded=60 > Kimono_22_21,Kimono_22_21,Kimono
616,/data/videos/1080p/Kimono1_1920x1080_24.yuv,8,24,1920,1080,22,12,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/1080p/Kimono1_1920x1080_24.yuv --FramesToBeEncoded=60 > Kimono_22_12,Kimono_22_12,Kimono
617,/data/videos/1080p/Kimono1_1920x1080_24.yuv,8,24,1920,1080,22,22,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/1080p/Kimono1_1920x1080_24.yuv --FramesToBeEncoded=60 > Kimono_22_22,Kimono_22_22,Kimono
618,/data/videos/1080p/Kimono1_1920x1080_24.yuv,8,24,1920,1080,22,13,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/1080p/Kimono1_1920x1080_24.yuv --FramesToBeEncoded=60 > Kimono_22_13,Kimono_22_13,Kimono
619,/data/videos/1080p/Kimono1_1920x1080_24.yuv,8,24,1920,1080,22,23,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/1080p/Kimono1_1920x1080_24.yuv --FramesToBeEncoded=60 > Kimono_22_23,Kimono_22_23,Kimono
620,/data/videos/1080p/Kimono1_1920x1080_24.yuv,8,24,1920,1080,22,14,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/1080p/Kimono1_1920x1080_24.yuv --FramesToBeEncoded=60 > Kimono_22_14,Kimono_22_14,Kimono
621,/data/videos/1080p/Kimono1_1920x1080_24.yuv,8,24,1920,1080,22,24,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/1080p/Kimono1_1920x1080_24.yuv --FramesToBeEncoded=60 > Kimono_22_24,Kimono_22_24,Kimono
622,/data/videos/1080p/Kimono1_1920x1080_24.yuv,8,24,1920,1080,27,51,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=27 -c sequence.cfg  -i /data/videos/1080p/Kimono1_1920x1080_24.yuv --FramesToBeEncoded=60 > Kimono_27_51,Kimono_27_51,Kimono
