linha,sequencia,bit,framerate,SourceWidth,SourceHeight,qp,subtrator,linhacomando,resultado,video
397,/data/videos/720p/KristenAndSara_1280x720_60.yuv,8,60,1280,720,22,51,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/720p/KristenAndSara_1280x720_60.yuv --FramesToBeEncoded=60 > KristenAndSara_22_51,KristenAndSara_22_51,KristenAndSara
398,/data/videos/720p/KristenAndSara_1280x720_60.yuv,8,60,1280,720,22,11,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/720p/KristenAndSara_1280x720_60.yuv --FramesToBeEncoded=60 > KristenAndSara_22_11,KristenAndSara_22_11,KristenAndSara
399,/data/videos/720p/KristenAndSara_1280x720_60.yuv,8,60,1280,720,22,21,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/720p/KristenAndSara_1280x720_60.yuv --FramesToBeEncoded=60 > KristenAndSara_22_21,KristenAndSara_22_21,KristenAndSara
400,/data/videos/720p/KristenAndSara_1280x720_60.yuv,8,60,1280,720,22,12,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/720p/KristenAndSara_1280x720_60.yuv --FramesToBeEncoded=60 > KristenAndSara_22_12,KristenAndSara_22_12,KristenAndSara
401,/data/videos/720p/KristenAndSara_1280x720_60.yuv,8,60,1280,720,22,22,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/720p/KristenAndSara_1280x720_60.yuv --FramesToBeEncoded=60 > KristenAndSara_22_22,KristenAndSara_22_22,KristenAndSara
402,/data/videos/720p/KristenAndSara_1280x720_60.yuv,8,60,1280,720,22,13,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/720p/KristenAndSara_1280x720_60.yuv --FramesToBeEncoded=60 > KristenAndSara_22_13,KristenAndSara_22_13,KristenAndSara
403,/data/videos/720p/KristenAndSara_1280x720_60.yuv,8,60,1280,720,22,23,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/720p/KristenAndSara_1280x720_60.yuv --FramesToBeEncoded=60 > KristenAndSara_22_23,KristenAndSara_22_23,KristenAndSara
404,/data/videos/720p/KristenAndSara_1280x720_60.yuv,8,60,1280,720,22,14,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/720p/KristenAndSara_1280x720_60.yuv --FramesToBeEncoded=60 > KristenAndSara_22_14,KristenAndSara_22_14,KristenAndSara
405,/data/videos/720p/KristenAndSara_1280x720_60.yuv,8,60,1280,720,22,24,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/720p/KristenAndSara_1280x720_60.yuv --FramesToBeEncoded=60 > KristenAndSara_22_24,KristenAndSara_22_24,KristenAndSara
406,/data/videos/720p/KristenAndSara_1280x720_60.yuv,8,60,1280,720,27,51,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=27 -c sequence.cfg  -i /data/videos/720p/KristenAndSara_1280x720_60.yuv --FramesToBeEncoded=60 > KristenAndSara_27_51,KristenAndSara_27_51,KristenAndSara
