linha,sequencia,bit,framerate,SourceWidth,SourceHeight,qp,subtrator,linhacomando,resultado,video
829,/data/videos/4k/Mobile_3840x2160_60fps.yuv,8,60,3840,2160,22,51,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/4k/Mobile_3840x2160_60fps.yuv --FramesToBeEncoded=60 > Mobile_22_51,Mobile_22_51,Mobile
830,/data/videos/4k/Mobile_3840x2160_60fps.yuv,8,60,3840,2160,22,11,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/4k/Mobile_3840x2160_60fps.yuv --FramesToBeEncoded=60 > Mobile_22_11,Mobile_22_11,Mobile
831,/data/videos/4k/Mobile_3840x2160_60fps.yuv,8,60,3840,2160,22,21,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/4k/Mobile_3840x2160_60fps.yuv --FramesToBeEncoded=60 > Mobile_22_21,Mobile_22_21,Mobile
832,/data/videos/4k/Mobile_3840x2160_60fps.yuv,8,60,3840,2160,22,12,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/4k/Mobile_3840x2160_60fps.yuv --FramesToBeEncoded=60 > Mobile_22_12,Mobile_22_12,Mobile
833,/data/videos/4k/Mobile_3840x2160_60fps.yuv,8,60,3840,2160,22,22,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/4k/Mobile_3840x2160_60fps.yuv --FramesToBeEncoded=60 > Mobile_22_22,Mobile_22_22,Mobile
834,/data/videos/4k/Mobile_3840x2160_60fps.yuv,8,60,3840,2160,22,13,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/4k/Mobile_3840x2160_60fps.yuv --FramesToBeEncoded=60 > Mobile_22_13,Mobile_22_13,Mobile
835,/data/videos/4k/Mobile_3840x2160_60fps.yuv,8,60,3840,2160,22,23,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/4k/Mobile_3840x2160_60fps.yuv --FramesToBeEncoded=60 > Mobile_22_23,Mobile_22_23,Mobile
836,/data/videos/4k/Mobile_3840x2160_60fps.yuv,8,60,3840,2160,22,14,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/4k/Mobile_3840x2160_60fps.yuv --FramesToBeEncoded=60 > Mobile_22_14,Mobile_22_14,Mobile
837,/data/videos/4k/Mobile_3840x2160_60fps.yuv,8,60,3840,2160,22,24,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/4k/Mobile_3840x2160_60fps.yuv --FramesToBeEncoded=60 > Mobile_22_24,Mobile_22_24,Mobile
838,/data/videos/4k/Mobile_3840x2160_60fps.yuv,8,60,3840,2160,27,51,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=27 -c sequence.cfg  -i /data/videos/4k/Mobile_3840x2160_60fps.yuv --FramesToBeEncoded=60 > Mobile_27_51,Mobile_27_51,Mobile
839,/data/videos/4k/Mobile_3840x2160_60fps.yuv,8,60,3840,2160,27,11,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=27 -c sequence.cfg  -i /data/videos/4k/Mobile_3840x2160_60fps.yuv --FramesToBeEncoded=60 > Mobile_27_11,Mobile_27_11,Mobile
840,/data/videos/4k/Mobile_3840x2160_60fps.yuv,8,60,3840,2160,27,21,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=27 -c sequence.cfg  -i /data/videos/4k/Mobile_3840x2160_60fps.yuv --FramesToBeEncoded=60 > Mobile_27_21,Mobile_27_21,Mobile
841,/data/videos/4k/Mobile_3840x2160_60fps.yuv,8,60,3840,2160,27,12,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=27 -c sequence.cfg  -i /data/videos/4k/Mobile_3840x2160_60fps.yuv --FramesToBeEncoded=60 > Mobile_27_12,Mobile_27_12,Mobile
842,/data/videos/4k/Mobile_3840x2160_60fps.yuv,8,60,3840,2160,27,22,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=27 -c sequence.cfg  -i /data/videos/4k/Mobile_3840x2160_60fps.yuv --FramesToBeEncoded=60 > Mobile_27_22,Mobile_27_22,Mobile
843,/data/videos/4k/Mobile_3840x2160_60fps.yuv,8,60,3840,2160,27,13,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=27 -c sequence.cfg  -i /data/videos/4k/Mobile_3840x2160_60fps.yuv --FramesToBeEncoded=60 > Mobile_27_13,Mobile_27_13,Mobile
844,/data/videos/4k/Mobile_3840x2160_60fps.yuv,8,60,3840,2160,27,23,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=27 -c sequence.cfg  -i /data/videos/4k/Mobile_3840x2160_60fps.yuv --FramesToBeEncoded=60 > Mobile_27_23,Mobile_27_23,Mobile
845,/data/videos/4k/Mobile_3840x2160_60fps.yuv,8,60,3840,2160,27,14,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=27 -c sequence.cfg  -i /data/videos/4k/Mobile_3840x2160_60fps.yuv --FramesToBeEncoded=60 > Mobile_27_14,Mobile_27_14,Mobile
846,/data/videos/4k/Mobile_3840x2160_60fps.yuv,8,60,3840,2160,27,24,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=27 -c sequence.cfg  -i /data/videos/4k/Mobile_3840x2160_60fps.yuv --FramesToBeEncoded=60 > Mobile_27_24,Mobile_27_24,Mobile
847,/data/videos/4k/Mobile_3840x2160_60fps.yuv,8,60,3840,2160,32,51,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=32 -c sequence.cfg  -i /data/videos/4k/Mobile_3840x2160_60fps.yuv --FramesToBeEncoded=60 > Mobile_32_51,Mobile_32_51,Mobile
848,/data/videos/4k/Mobile_3840x2160_60fps.yuv,8,60,3840,2160,32,11,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=32 -c sequence.cfg  -i /data/videos/4k/Mobile_3840x2160_60fps.yuv --FramesToBeEncoded=60 > Mobile_32_11,Mobile_32_11,Mobile
849,/data/videos/4k/Mobile_3840x2160_60fps.yuv,8,60,3840,2160,32,21,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=32 -c sequence.cfg  -i /data/videos/4k/Mobile_3840x2160_60fps.yuv --FramesToBeEncoded=60 > Mobile_32_21,Mobile_32_21,Mobile
850,/data/videos/4k/Mobile_3840x2160_60fps.yuv,8,60,3840,2160,32,12,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=32 -c sequence.cfg  -i /data/videos/4k/Mobile_3840x2160_60fps.yuv --FramesToBeEncoded=60 > Mobile_32_12,Mobile_32_12,Mobile
851,/data/videos/4k/Mobile_3840x2160_60fps.yuv,8,60,3840,2160,32,22,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=32 -c sequence.cfg  -i /data/videos/4k/Mobile_3840x2160_60fps.yuv --FramesToBeEncoded=60 > Mobile_32_22,Mobile_32_22,Mobile
852,/data/videos/4k/Mobile_3840x2160_60fps.yuv,8,60,3840,2160,32,13,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=32 -c sequence.cfg  -i /data/videos/4k/Mobile_3840x2160_60fps.yuv --FramesToBeEncoded=60 > Mobile_32_13,Mobile_32_13,Mobile
