linha,sequencia,bit,framerate,SourceWidth,SourceHeight,qp,subtrator,linhacomando,resultado,video
865,/data/videos/4k/News_3840x2160_60fps.yuv,8,60,3840,2160,22,51,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/4k/News_3840x2160_60fps.yuv --FramesToBeEncoded=60 > News_22_51,News_22_51,News
866,/data/videos/4k/News_3840x2160_60fps.yuv,8,60,3840,2160,22,11,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/4k/News_3840x2160_60fps.yuv --FramesToBeEncoded=60 > News_22_11,News_22_11,News
867,/data/videos/4k/News_3840x2160_60fps.yuv,8,60,3840,2160,22,21,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/4k/News_3840x2160_60fps.yuv --FramesToBeEncoded=60 > News_22_21,News_22_21,News
868,/data/videos/4k/News_3840x2160_60fps.yuv,8,60,3840,2160,22,12,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/4k/News_3840x2160_60fps.yuv --FramesToBeEncoded=60 > News_22_12,News_22_12,News
869,/data/videos/4k/News_3840x2160_60fps.yuv,8,60,3840,2160,22,22,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/4k/News_3840x2160_60fps.yuv --FramesToBeEncoded=60 > News_22_22,News_22_22,News
870,/data/videos/4k/News_3840x2160_60fps.yuv,8,60,3840,2160,22,13,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/4k/News_3840x2160_60fps.yuv --FramesToBeEncoded=60 > News_22_13,News_22_13,News
871,/data/videos/4k/News_3840x2160_60fps.yuv,8,60,3840,2160,22,23,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/4k/News_3840x2160_60fps.yuv --FramesToBeEncoded=60 > News_22_23,News_22_23,News
872,/data/videos/4k/News_3840x2160_60fps.yuv,8,60,3840,2160,22,14,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/4k/News_3840x2160_60fps.yuv --FramesToBeEncoded=60 > News_22_14,News_22_14,News
873,/data/videos/4k/News_3840x2160_60fps.yuv,8,60,3840,2160,22,24,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/4k/News_3840x2160_60fps.yuv --FramesToBeEncoded=60 > News_22_24,News_22_24,News
874,/data/videos/4k/News_3840x2160_60fps.yuv,8,60,3840,2160,27,51,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=27 -c sequence.cfg  -i /data/videos/4k/News_3840x2160_60fps.yuv --FramesToBeEncoded=60 > News_27_51,News_27_51,News
875,/data/videos/4k/News_3840x2160_60fps.yuv,8,60,3840,2160,27,11,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=27 -c sequence.cfg  -i /data/videos/4k/News_3840x2160_60fps.yuv --FramesToBeEncoded=60 > News_27_11,News_27_11,News
876,/data/videos/4k/News_3840x2160_60fps.yuv,8,60,3840,2160,27,21,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=27 -c sequence.cfg  -i /data/videos/4k/News_3840x2160_60fps.yuv --FramesToBeEncoded=60 > News_27_21,News_27_21,News
877,/data/videos/4k/News_3840x2160_60fps.yuv,8,60,3840,2160,27,12,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=27 -c sequence.cfg  -i /data/videos/4k/News_3840x2160_60fps.yuv --FramesToBeEncoded=60 > News_27_12,News_27_12,News
878,/data/videos/4k/News_3840x2160_60fps.yuv,8,60,3840,2160,27,22,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=27 -c sequence.cfg  -i /data/videos/4k/News_3840x2160_60fps.yuv --FramesToBeEncoded=60 > News_27_22,News_27_22,News
879,/data/videos/4k/News_3840x2160_60fps.yuv,8,60,3840,2160,27,13,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=27 -c sequence.cfg  -i /data/videos/4k/News_3840x2160_60fps.yuv --FramesToBeEncoded=60 > News_27_13,News_27_13,News
880,/data/videos/4k/News_3840x2160_60fps.yuv,8,60,3840,2160,27,23,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=27 -c sequence.cfg  -i /data/videos/4k/News_3840x2160_60fps.yuv --FramesToBeEncoded=60 > News_27_23,News_27_23,News
881,/data/videos/4k/News_3840x2160_60fps.yuv,8,60,3840,2160,27,14,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=27 -c sequence.cfg  -i /data/videos/4k/News_3840x2160_60fps.yuv --FramesToBeEncoded=60 > News_27_14,News_27_14,News
882,/data/videos/4k/News_3840x2160_60fps.yuv,8,60,3840,2160,27,24,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=27 -c sequence.cfg  -i /data/videos/4k/News_3840x2160_60fps.yuv --FramesToBeEncoded=60 > News_27_24,News_27_24,News
883,/data/videos/4k/News_3840x2160_60fps.yuv,8,60,3840,2160,32,51,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=32 -c sequence.cfg  -i /data/videos/4k/News_3840x2160_60fps.yuv --FramesToBeEncoded=60 > News_32_51,News_32_51,News
884,/data/videos/4k/News_3840x2160_60fps.yuv,8,60,3840,2160,32,11,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=32 -c sequence.cfg  -i /data/videos/4k/News_3840x2160_60fps.yuv --FramesToBeEncoded=60 > News_32_11,News_32_11,News
885,/data/videos/4k/News_3840x2160_60fps.yuv,8,60,3840,2160,32,21,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=32 -c sequence.cfg  -i /data/videos/4k/News_3840x2160_60fps.yuv --FramesToBeEncoded=60 > News_32_21,News_32_21,News
886,/data/videos/4k/News_3840x2160_60fps.yuv,8,60,3840,2160,32,12,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=32 -c sequence.cfg  -i /data/videos/4k/News_3840x2160_60fps.yuv --FramesToBeEncoded=60 > News_32_12,News_32_12,News
887,/data/videos/4k/News_3840x2160_60fps.yuv,8,60,3840,2160,32,22,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=32 -c sequence.cfg  -i /data/videos/4k/News_3840x2160_60fps.yuv --FramesToBeEncoded=60 > News_32_22,News_32_22,News
888,/data/videos/4k/News_3840x2160_60fps.yuv,8,60,3840,2160,32,13,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=32 -c sequence.cfg  -i /data/videos/4k/News_3840x2160_60fps.yuv --FramesToBeEncoded=60 > News_32_13,News_32_13,News
889,/data/videos/4k/News_3840x2160_60fps.yuv,8,60,3840,2160,32,23,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=32 -c sequence.cfg  -i /data/videos/4k/News_3840x2160_60fps.yuv --FramesToBeEncoded=60 > News_32_23,News_32_23,News
890,/data/videos/4k/News_3840x2160_60fps.yuv,8,60,3840,2160,32,14,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=32 -c sequence.cfg  -i /data/videos/4k/News_3840x2160_60fps.yuv --FramesToBeEncoded=60 > News_32_14,News_32_14,News
891,/data/videos/4k/News_3840x2160_60fps.yuv,8,60,3840,2160,32,24,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=32 -c sequence.cfg  -i /data/videos/4k/News_3840x2160_60fps.yuv --FramesToBeEncoded=60 > News_32_24,News_32_24,News
