linha,sequencia,bit,framerate,SourceWidth,SourceHeight,qp,subtrator,linhacomando,resultado,video
217,/data/videos/1600p/PeopleOnStreet_2560x1600_30.yuv,8,30,2560,1600,22,51,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/1600p/PeopleOnStreet_2560x1600_30.yuv --FramesToBeEncoded=60 > PeopleOnStreet_22_51,PeopleOnStreet_22_51,PeopleOnStreet
218,/data/videos/1600p/PeopleOnStreet_2560x1600_30.yuv,8,30,2560,1600,22,11,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/1600p/PeopleOnStreet_2560x1600_30.yuv --FramesToBeEncoded=60 > PeopleOnStreet_22_11,PeopleOnStreet_22_11,PeopleOnStreet
219,/data/videos/1600p/PeopleOnStreet_2560x1600_30.yuv,8,30,2560,1600,22,21,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/1600p/PeopleOnStreet_2560x1600_30.yuv --FramesToBeEncoded=60 > PeopleOnStreet_22_21,PeopleOnStreet_22_21,PeopleOnStreet
220,/data/videos/1600p/PeopleOnStreet_2560x1600_30.yuv,8,30,2560,1600,22,12,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/1600p/PeopleOnStreet_2560x1600_30.yuv --FramesToBeEncoded=60 > PeopleOnStreet_22_12,PeopleOnStreet_22_12,PeopleOnStreet
221,/data/videos/1600p/PeopleOnStreet_2560x1600_30.yuv,8,30,2560,1600,22,22,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/1600p/PeopleOnStreet_2560x1600_30.yuv --FramesToBeEncoded=60 > PeopleOnStreet_22_22,PeopleOnStreet_22_22,PeopleOnStreet
222,/data/videos/1600p/PeopleOnStreet_2560x1600_30.yuv,8,30,2560,1600,22,13,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/1600p/PeopleOnStreet_2560x1600_30.yuv --FramesToBeEncoded=60 > PeopleOnStreet_22_13,PeopleOnStreet_22_13,PeopleOnStreet
223,/data/videos/1600p/PeopleOnStreet_2560x1600_30.yuv,8,30,2560,1600,22,23,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/1600p/PeopleOnStreet_2560x1600_30.yuv --FramesToBeEncoded=60 > PeopleOnStreet_22_23,PeopleOnStreet_22_23,PeopleOnStreet
224,/data/videos/1600p/PeopleOnStreet_2560x1600_30.yuv,8,30,2560,1600,22,14,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/1600p/PeopleOnStreet_2560x1600_30.yuv --FramesToBeEncoded=60 > PeopleOnStreet_22_14,PeopleOnStreet_22_14,PeopleOnStreet
225,/data/videos/1600p/PeopleOnStreet_2560x1600_30.yuv,8,30,2560,1600,22,24,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/1600p/PeopleOnStreet_2560x1600_30.yuv --FramesToBeEncoded=60 > PeopleOnStreet_22_24,PeopleOnStreet_22_24,PeopleOnStreet
226,/data/videos/1600p/PeopleOnStreet_2560x1600_30.yuv,8,30,2560,1600,27,51,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=27 -c sequence.cfg  -i /data/videos/1600p/PeopleOnStreet_2560x1600_30.yuv --FramesToBeEncoded=60 > PeopleOnStreet_27_51,PeopleOnStreet_27_51,PeopleOnStreet
227,/data/videos/1600p/PeopleOnStreet_2560x1600_30.yuv,8,30,2560,1600,27,11,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=27 -c sequence.cfg  -i /data/videos/1600p/PeopleOnStreet_2560x1600_30.yuv --FramesToBeEncoded=60 > PeopleOnStreet_27_11,PeopleOnStreet_27_11,PeopleOnStreet
