linha,sequencia,bit,framerate,SourceWidth,SourceHeight,qp,subtrator,linhacomando,resultado,video
901,/data/videos/4k/RadySetGo_3840x2160_120fps_420_10bit_YUV.yuv,10,120,3840,2160,22,51,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/4k/RadySetGo_3840x2160_120fps_420_10bit_YUV.yuv --FramesToBeEncoded=60 > RadySetGo_22_51,RadySetGo_22_51,RadySetGo
902,/data/videos/4k/RadySetGo_3840x2160_120fps_420_10bit_YUV.yuv,10,120,3840,2160,22,11,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/4k/RadySetGo_3840x2160_120fps_420_10bit_YUV.yuv --FramesToBeEncoded=60 > RadySetGo_22_11,RadySetGo_22_11,RadySetGo
903,/data/videos/4k/RadySetGo_3840x2160_120fps_420_10bit_YUV.yuv,10,120,3840,2160,22,21,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/4k/RadySetGo_3840x2160_120fps_420_10bit_YUV.yuv --FramesToBeEncoded=60 > RadySetGo_22_21,RadySetGo_22_21,RadySetGo
904,/data/videos/4k/RadySetGo_3840x2160_120fps_420_10bit_YUV.yuv,10,120,3840,2160,22,12,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/4k/RadySetGo_3840x2160_120fps_420_10bit_YUV.yuv --FramesToBeEncoded=60 > RadySetGo_22_12,RadySetGo_22_12,RadySetGo
905,/data/videos/4k/RadySetGo_3840x2160_120fps_420_10bit_YUV.yuv,10,120,3840,2160,22,22,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/4k/RadySetGo_3840x2160_120fps_420_10bit_YUV.yuv --FramesToBeEncoded=60 > RadySetGo_22_22,RadySetGo_22_22,RadySetGo
906,/data/videos/4k/RadySetGo_3840x2160_120fps_420_10bit_YUV.yuv,10,120,3840,2160,22,13,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/4k/RadySetGo_3840x2160_120fps_420_10bit_YUV.yuv --FramesToBeEncoded=60 > RadySetGo_22_13,RadySetGo_22_13,RadySetGo
907,/data/videos/4k/RadySetGo_3840x2160_120fps_420_10bit_YUV.yuv,10,120,3840,2160,22,23,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/4k/RadySetGo_3840x2160_120fps_420_10bit_YUV.yuv --FramesToBeEncoded=60 > RadySetGo_22_23,RadySetGo_22_23,RadySetGo
908,/data/videos/4k/RadySetGo_3840x2160_120fps_420_10bit_YUV.yuv,10,120,3840,2160,22,14,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/4k/RadySetGo_3840x2160_120fps_420_10bit_YUV.yuv --FramesToBeEncoded=60 > RadySetGo_22_14,RadySetGo_22_14,RadySetGo
909,/data/videos/4k/RadySetGo_3840x2160_120fps_420_10bit_YUV.yuv,10,120,3840,2160,22,24,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/4k/RadySetGo_3840x2160_120fps_420_10bit_YUV.yuv --FramesToBeEncoded=60 > RadySetGo_22_24,RadySetGo_22_24,RadySetGo
910,/data/videos/4k/RadySetGo_3840x2160_120fps_420_10bit_YUV.yuv,10,120,3840,2160,27,51,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=27 -c sequence.cfg  -i /data/videos/4k/RadySetGo_3840x2160_120fps_420_10bit_YUV.yuv --FramesToBeEncoded=60 > RadySetGo_27_51,RadySetGo_27_51,RadySetGo
