linha,sequencia,bit,framerate,SourceWidth,SourceHeight,qp,subtrator,linhacomando,resultado,video
937,/data/videos/4k/RollerCoaster_4096x2160_60fps_10bit_420_jvet.yuv,10,60,4096,2160,22,51,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/4k/RollerCoaster_4096x2160_60fps_10bit_420_jvet.yuv --FramesToBeEncoded=60 > RollerCoaster_22_51,RollerCoaster_22_51,RollerCoaster
938,/data/videos/4k/RollerCoaster_4096x2160_60fps_10bit_420_jvet.yuv,10,60,4096,2160,22,11,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/4k/RollerCoaster_4096x2160_60fps_10bit_420_jvet.yuv --FramesToBeEncoded=60 > RollerCoaster_22_11,RollerCoaster_22_11,RollerCoaster
939,/data/videos/4k/RollerCoaster_4096x2160_60fps_10bit_420_jvet.yuv,10,60,4096,2160,22,21,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/4k/RollerCoaster_4096x2160_60fps_10bit_420_jvet.yuv --FramesToBeEncoded=60 > RollerCoaster_22_21,RollerCoaster_22_21,RollerCoaster
940,/data/videos/4k/RollerCoaster_4096x2160_60fps_10bit_420_jvet.yuv,10,60,4096,2160,22,12,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/4k/RollerCoaster_4096x2160_60fps_10bit_420_jvet.yuv --FramesToBeEncoded=60 > RollerCoaster_22_12,RollerCoaster_22_12,RollerCoaster
941,/data/videos/4k/RollerCoaster_4096x2160_60fps_10bit_420_jvet.yuv,10,60,4096,2160,22,22,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/4k/RollerCoaster_4096x2160_60fps_10bit_420_jvet.yuv --FramesToBeEncoded=60 > RollerCoaster_22_22,RollerCoaster_22_22,RollerCoaster
942,/data/videos/4k/RollerCoaster_4096x2160_60fps_10bit_420_jvet.yuv,10,60,4096,2160,22,13,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/4k/RollerCoaster_4096x2160_60fps_10bit_420_jvet.yuv --FramesToBeEncoded=60 > RollerCoaster_22_13,RollerCoaster_22_13,RollerCoaster
943,/data/videos/4k/RollerCoaster_4096x2160_60fps_10bit_420_jvet.yuv,10,60,4096,2160,22,23,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/4k/RollerCoaster_4096x2160_60fps_10bit_420_jvet.yuv --FramesToBeEncoded=60 > RollerCoaster_22_23,RollerCoaster_22_23,RollerCoaster
944,/data/videos/4k/RollerCoaster_4096x2160_60fps_10bit_420_jvet.yuv,10,60,4096,2160,22,14,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/4k/RollerCoaster_4096x2160_60fps_10bit_420_jvet.yuv --FramesToBeEncoded=60 > RollerCoaster_22_14,RollerCoaster_22_14,RollerCoaster
945,/data/videos/4k/RollerCoaster_4096x2160_60fps_10bit_420_jvet.yuv,10,60,4096,2160,22,24,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/4k/RollerCoaster_4096x2160_60fps_10bit_420_jvet.yuv --FramesToBeEncoded=60 > RollerCoaster_22_24,RollerCoaster_22_24,RollerCoaster
946,/data/videos/4k/RollerCoaster_4096x2160_60fps_10bit_420_jvet.yuv,10,60,4096,2160,27,51,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=27 -c sequence.cfg  -i /data/videos/4k/RollerCoaster_4096x2160_60fps_10bit_420_jvet.yuv --FramesToBeEncoded=60 > RollerCoaster_27_51,RollerCoaster_27_51,RollerCoaster
947,/data/videos/4k/RollerCoaster_4096x2160_60fps_10bit_420_jvet.yuv,10,60,4096,2160,27,11,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=27 -c sequence.cfg  -i /data/videos/4k/RollerCoaster_4096x2160_60fps_10bit_420_jvet.yuv --FramesToBeEncoded=60 > RollerCoaster_27_11,RollerCoaster_27_11,RollerCoaster
948,/data/videos/4k/RollerCoaster_4096x2160_60fps_10bit_420_jvet.yuv,10,60,4096,2160,27,21,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=27 -c sequence.cfg  -i /data/videos/4k/RollerCoaster_4096x2160_60fps_10bit_420_jvet.yuv --FramesToBeEncoded=60 > RollerCoaster_27_21,RollerCoaster_27_21,RollerCoaster
949,/data/videos/4k/RollerCoaster_4096x2160_60fps_10bit_420_jvet.yuv,10,60,4096,2160,27,12,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=27 -c sequence.cfg  -i /data/videos/4k/RollerCoaster_4096x2160_60fps_10bit_420_jvet.yuv --FramesToBeEncoded=60 > RollerCoaster_27_12,RollerCoaster_27_12,RollerCoaster
950,/data/videos/4k/RollerCoaster_4096x2160_60fps_10bit_420_jvet.yuv,10,60,4096,2160,27,22,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=27 -c sequence.cfg  -i /data/videos/4k/RollerCoaster_4096x2160_60fps_10bit_420_jvet.yuv --FramesToBeEncoded=60 > RollerCoaster_27_22,RollerCoaster_27_22,RollerCoaster
951,/data/videos/4k/RollerCoaster_4096x2160_60fps_10bit_420_jvet.yuv,10,60,4096,2160,27,13,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=27 -c sequence.cfg  -i /data/videos/4k/RollerCoaster_4096x2160_60fps_10bit_420_jvet.yuv --FramesToBeEncoded=60 > RollerCoaster_27_13,RollerCoaster_27_13,RollerCoaster
952,/data/videos/4k/RollerCoaster_4096x2160_60fps_10bit_420_jvet.yuv,10,60,4096,2160,27,23,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=27 -c sequence.cfg  -i /data/videos/4k/RollerCoaster_4096x2160_60fps_10bit_420_jvet.yuv --FramesToBeEncoded=60 > RollerCoaster_27_23,RollerCoaster_27_23,RollerCoaster
953,/data/videos/4k/RollerCoaster_4096x2160_60fps_10bit_420_jvet.yuv,10,60,4096,2160,27,14,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=27 -c sequence.cfg  -i /data/videos/4k/RollerCoaster_4096x2160_60fps_10bit_420_jvet.yuv --FramesToBeEncoded=60 > RollerCoaster_27_14,RollerCoaster_27_14,RollerCoaster
954,/data/videos/4k/RollerCoaster_4096x2160_60fps_10bit_420_jvet.yuv,10,60,4096,2160,27,24,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=27 -c sequence.cfg  -i /data/videos/4k/RollerCoaster_4096x2160_60fps_10bit_420_jvet.yuv --FramesToBeEncoded=60 > RollerCoaster_27_24,RollerCoaster_27_24,RollerCoaster
955,/data/videos/4k/RollerCoaster_4096x2160_60fps_10bit_420_jvet.yuv,10,60,4096,2160,32,51,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=32 -c sequence.cfg  -i /data/videos/4k/RollerCoaster_4096x2160_60fps_10bit_420_jvet.yuv --FramesToBeEncoded=60 > RollerCoaster_32_51,RollerCoaster_32_51,RollerCoaster
956,/data/videos/4k/RollerCoaster_4096x2160_60fps_10bit_420_jvet.yuv,10,60,4096,2160,32,11,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=32 -c sequence.cfg  -i /data/videos/4k/RollerCoaster_4096x2160_60fps_10bit_420_jvet.yuv --FramesToBeEncoded=60 > RollerCoaster_32_11,RollerCoaster_32_11,RollerCoaster
957,/data/videos/4k/RollerCoaster_4096x2160_60fps_10bit_420_jvet.yuv,10,60,4096,2160,32,21,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=32 -c sequence.cfg  -i /data/videos/4k/RollerCoaster_4096x2160_60fps_10bit_420_jvet.yuv --FramesToBeEncoded=60 > RollerCoaster_32_21,RollerCoaster_32_21,RollerCoaster
