linha,sequencia,bit,framerate,SourceWidth,SourceHeight,qp,subtrator,linhacomando,resultado,video
973,/data/videos/4k/ShakeNDry_3840x2160_120fps_420_10bit_YUV.yuv,10,120,3840,2160,22,51,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/4k/ShakeNDry_3840x2160_120fps_420_10bit_YUV.yuv --FramesToBeEncoded=60 > ShakeNDry_22_51,ShakeNDry_22_51,ShakeNDry
974,/data/videos/4k/ShakeNDry_3840x2160_120fps_420_10bit_YUV.yuv,10,120,3840,2160,22,11,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/4k/ShakeNDry_3840x2160_120fps_420_10bit_YUV.yuv --FramesToBeEncoded=60 > ShakeNDry_22_11,ShakeNDry_22_11,ShakeNDry
975,/data/videos/4k/ShakeNDry_3840x2160_120fps_420_10bit_YUV.yuv,10,120,3840,2160,22,21,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/4k/ShakeNDry_3840x2160_120fps_420_10bit_YUV.yuv --FramesToBeEncoded=60 > ShakeNDry_22_21,ShakeNDry_22_21,ShakeNDry
976,/data/videos/4k/ShakeNDry_3840x2160_120fps_420_10bit_YUV.yuv,10,120,3840,2160,22,12,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/4k/ShakeNDry_3840x2160_120fps_420_10bit_YUV.yuv --FramesToBeEncoded=60 > ShakeNDry_22_12,ShakeNDry_22_12,ShakeNDry
977,/data/videos/4k/ShakeNDry_3840x2160_120fps_420_10bit_YUV.yuv,10,120,3840,2160,22,22,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/4k/ShakeNDry_3840x2160_120fps_420_10bit_YUV.yuv --FramesToBeEncoded=60 > ShakeNDry_22_22,ShakeNDry_22_22,ShakeNDry
978,/data/videos/4k/ShakeNDry_3840x2160_120fps_420_10bit_YUV.yuv,10,120,3840,2160,22,13,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/4k/ShakeNDry_3840x2160_120fps_420_10bit_YUV.yuv --FramesToBeEncoded=60 > ShakeNDry_22_13,ShakeNDry_22_13,ShakeNDry
979,/data/videos/4k/ShakeNDry_3840x2160_120fps_420_10bit_YUV.yuv,10,120,3840,2160,22,23,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/4k/ShakeNDry_3840x2160_120fps_420_10bit_YUV.yuv --FramesToBeEncoded=60 > ShakeNDry_22_23,ShakeNDry_22_23,ShakeNDry
980,/data/videos/4k/ShakeNDry_3840x2160_120fps_420_10bit_YUV.yuv,10,120,3840,2160,22,14,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/4k/ShakeNDry_3840x2160_120fps_420_10bit_YUV.yuv --FramesToBeEncoded=60 > ShakeNDry_22_14,ShakeNDry_22_14,ShakeNDry
981,/data/videos/4k/ShakeNDry_3840x2160_120fps_420_10bit_YUV.yuv,10,120,3840,2160,22,24,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/4k/ShakeNDry_3840x2160_120fps_420_10bit_YUV.yuv --FramesToBeEncoded=60 > ShakeNDry_22_24,ShakeNDry_22_24,ShakeNDry
982,/data/videos/4k/ShakeNDry_3840x2160_120fps_420_10bit_YUV.yuv,10,120,3840,2160,27,51,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=27 -c sequence.cfg  -i /data/videos/4k/ShakeNDry_3840x2160_120fps_420_10bit_YUV.yuv --FramesToBeEncoded=60 > ShakeNDry_27_51,ShakeNDry_27_51,ShakeNDry
