linha,sequencia,bit,framerate,SourceWidth,SourceHeight,qp,subtrator,linhacomando,resultado,video
541,/data/videos/720p/SlideEditing_1280x720_30.yuv,8,30,1280,720,22,51,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/720p/SlideEditing_1280x720_30.yuv --FramesToBeEncoded=60 > SlideEditing_22_51,SlideEditing_22_51,SlideEditing
542,/data/videos/720p/SlideEditing_1280x720_30.yuv,8,30,1280,720,22,11,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/720p/SlideEditing_1280x720_30.yuv --FramesToBeEncoded=60 > SlideEditing_22_11,SlideEditing_22_11,SlideEditing
543,/data/videos/720p/SlideEditing_1280x720_30.yuv,8,30,1280,720,22,21,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/720p/SlideEditing_1280x720_30.yuv --FramesToBeEncoded=60 > SlideEditing_22_21,SlideEditing_22_21,SlideEditing
544,/data/videos/720p/SlideEditing_1280x720_30.yuv,8,30,1280,720,22,12,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/720p/SlideEditing_1280x720_30.yuv --FramesToBeEncoded=60 > SlideEditing_22_12,SlideEditing_22_12,SlideEditing
545,/data/videos/720p/SlideEditing_1280x720_30.yuv,8,30,1280,720,22,22,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/720p/SlideEditing_1280x720_30.yuv --FramesToBeEncoded=60 > SlideEditing_22_22,SlideEditing_22_22,SlideEditing
546,/data/videos/720p/SlideEditing_1280x720_30.yuv,8,30,1280,720,22,13,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/720p/SlideEditing_1280x720_30.yuv --FramesToBeEncoded=60 > SlideEditing_22_13,SlideEditing_22_13,SlideEditing
547,/data/videos/720p/SlideEditing_1280x720_30.yuv,8,30,1280,720,22,23,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/720p/SlideEditing_1280x720_30.yuv --FramesToBeEncoded=60 > SlideEditing_22_23,SlideEditing_22_23,SlideEditing
548,/data/videos/720p/SlideEditing_1280x720_30.yuv,8,30,1280,720,22,14,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/720p/SlideEditing_1280x720_30.yuv --FramesToBeEncoded=60 > SlideEditing_22_14,SlideEditing_22_14,SlideEditing
549,/data/videos/720p/SlideEditing_1280x720_30.yuv,8,30,1280,720,22,24,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/720p/SlideEditing_1280x720_30.yuv --FramesToBeEncoded=60 > SlideEditing_22_24,SlideEditing_22_24,SlideEditing
550,/data/videos/720p/SlideEditing_1280x720_30.yuv,8,30,1280,720,27,51,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=27 -c sequence.cfg  -i /data/videos/720p/SlideEditing_1280x720_30.yuv --FramesToBeEncoded=60 > SlideEditing_27_51,SlideEditing_27_51,SlideEditing
551,/data/videos/720p/SlideEditing_1280x720_30.yuv,8,30,1280,720,27,11,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=27 -c sequence.cfg  -i /data/videos/720p/SlideEditing_1280x720_30.yuv --FramesToBeEncoded=60 > SlideEditing_27_11,SlideEditing_27_11,SlideEditing
552,/data/videos/720p/SlideEditing_1280x720_30.yuv,8,30,1280,720,27,21,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=27 -c sequence.cfg  -i /data/videos/720p/SlideEditing_1280x720_30.yuv --FramesToBeEncoded=60 > SlideEditing_27_21,SlideEditing_27_21,SlideEditing
