linha,sequencia,bit,framerate,SourceWidth,SourceHeight,qp,subtrator,linhacomando,resultado,video
649,/data/videos/720p/SlideShow_1280x720_20.yuv,8,20,1280,720,22,51,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/720p/SlideShow_1280x720_20.yuv --FramesToBeEncoded=60 > SlideShow_22_51,SlideShow_22_51,SlideShow
650,/data/videos/720p/SlideShow_1280x720_20.yuv,8,20,1280,720,22,11,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/720p/SlideShow_1280x720_20.yuv --FramesToBeEncoded=60 > SlideShow_22_11,SlideShow_22_11,SlideShow
651,/data/videos/720p/SlideShow_1280x720_20.yuv,8,20,1280,720,22,21,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/720p/SlideShow_1280x720_20.yuv --FramesToBeEncoded=60 > SlideShow_22_21,SlideShow_22_21,SlideShow
652,/data/videos/720p/SlideShow_1280x720_20.yuv,8,20,1280,720,22,12,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/720p/SlideShow_1280x720_20.yuv --FramesToBeEncoded=60 > SlideShow_22_12,SlideShow_22_12,SlideShow
653,/data/videos/720p/SlideShow_1280x720_20.yuv,8,20,1280,720,22,22,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/720p/SlideShow_1280x720_20.yuv --FramesToBeEncoded=60 > SlideShow_22_22,SlideShow_22_22,SlideShow
654,/data/videos/720p/SlideShow_1280x720_20.yuv,8,20,1280,720,22,13,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/720p/SlideShow_1280x720_20.yuv --FramesToBeEncoded=60 > SlideShow_22_13,SlideShow_22_13,SlideShow
655,/data/videos/720p/SlideShow_1280x720_20.yuv,8,20,1280,720,22,23,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/720p/SlideShow_1280x720_20.yuv --FramesToBeEncoded=60 > SlideShow_22_23,SlideShow_22_23,SlideShow
656,/data/videos/720p/SlideShow_1280x720_20.yuv,8,20,1280,720,22,14,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/720p/SlideShow_1280x720_20.yuv --FramesToBeEncoded=60 > SlideShow_22_14,SlideShow_22_14,SlideShow
657,/data/videos/720p/SlideShow_1280x720_20.yuv,8,20,1280,720,22,24,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/720p/SlideShow_1280x720_20.yuv --FramesToBeEncoded=60 > SlideShow_22_24,SlideShow_22_24,SlideShow
658,/data/videos/720p/SlideShow_1280x720_20.yuv,8,20,1280,720,27,51,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=27 -c sequence.cfg  -i /data/videos/720p/SlideShow_1280x720_20.yuv --FramesToBeEncoded=60 > SlideShow_27_51,SlideShow_27_51,SlideShow
659,/data/videos/720p/SlideShow_1280x720_20.yuv,8,20,1280,720,27,11,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=27 -c sequence.cfg  -i /data/videos/720p/SlideShow_1280x720_20.yuv --FramesToBeEncoded=60 > SlideShow_27_11,SlideShow_27_11,SlideShow
660,/data/videos/720p/SlideShow_1280x720_20.yuv,8,20,1280,720,27,21,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=27 -c sequence.cfg  -i /data/videos/720p/SlideShow_1280x720_20.yuv --FramesToBeEncoded=60 > SlideShow_27_21,SlideShow_27_21,SlideShow
661,/data/videos/720p/SlideShow_1280x720_20.yuv,8,20,1280,720,27,12,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=27 -c sequence.cfg  -i /data/videos/720p/SlideShow_1280x720_20.yuv --FramesToBeEncoded=60 > SlideShow_27_12,SlideShow_27_12,SlideShow
662,/data/videos/720p/SlideShow_1280x720_20.yuv,8,20,1280,720,27,22,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=27 -c sequence.cfg  -i /data/videos/720p/SlideShow_1280x720_20.yuv --FramesToBeEncoded=60 > SlideShow_27_22,SlideShow_27_22,SlideShow
663,/data/videos/720p/SlideShow_1280x720_20.yuv,8,20,1280,720,27,13,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=27 -c sequence.cfg  -i /data/videos/720p/SlideShow_1280x720_20.yuv --FramesToBeEncoded=60 > SlideShow_27_13,SlideShow_27_13,SlideShow
664,/data/videos/720p/SlideShow_1280x720_20.yuv,8,20,1280,720,27,23,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=27 -c sequence.cfg  -i /data/videos/720p/SlideShow_1280x720_20.yuv --FramesToBeEncoded=60 > SlideShow_27_23,SlideShow_27_23,SlideShow
665,/data/videos/720p/SlideShow_1280x720_20.yuv,8,20,1280,720,27,14,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=27 -c sequence.cfg  -i /data/videos/720p/SlideShow_1280x720_20.yuv --FramesToBeEncoded=60 > SlideShow_27_14,SlideShow_27_14,SlideShow
666,/data/videos/720p/SlideShow_1280x720_20.yuv,8,20,1280,720,27,24,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=27 -c sequence.cfg  -i /data/videos/720p/SlideShow_1280x720_20.yuv --FramesToBeEncoded=60 > SlideShow_27_24,SlideShow_27_24,SlideShow
667,/data/videos/720p/SlideShow_1280x720_20.yuv,8,20,1280,720,32,51,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=32 -c sequence.cfg  -i /data/videos/720p/SlideShow_1280x720_20.yuv --FramesToBeEncoded=60 > SlideShow_32_51,SlideShow_32_51,SlideShow
668,/data/videos/720p/SlideShow_1280x720_20.yuv,8,20,1280,720,32,11,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=32 -c sequence.cfg  -i /data/videos/720p/SlideShow_1280x720_20.yuv --FramesToBeEncoded=60 > SlideShow_32_11,SlideShow_32_11,SlideShow
