linha,sequencia,bit,framerate,SourceWidth,SourceHeight,qp,subtrator,linhacomando,resultado,video
361,/data/videos/1600p/SteamLocomotiveTrain_2560x1600_60_10bit_crop.yuv,10,60,2560,1600,22,51,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/1600p/SteamLocomotiveTrain_2560x1600_60_10bit_crop.yuv --FramesToBeEncoded=60 > SteamLocomotiveTrain_22_51,SteamLocomotiveTrain_22_51,SteamLocomotiveTrain
362,/data/videos/1600p/SteamLocomotiveTrain_2560x1600_60_10bit_crop.yuv,10,60,2560,1600,22,11,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/1600p/SteamLocomotiveTrain_2560x1600_60_10bit_crop.yuv --FramesToBeEncoded=60 > SteamLocomotiveTrain_22_11,SteamLocomotiveTrain_22_11,SteamLocomotiveTrain
363,/data/videos/1600p/SteamLocomotiveTrain_2560x1600_60_10bit_crop.yuv,10,60,2560,1600,22,21,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/1600p/SteamLocomotiveTrain_2560x1600_60_10bit_crop.yuv --FramesToBeEncoded=60 > SteamLocomotiveTrain_22_21,SteamLocomotiveTrain_22_21,SteamLocomotiveTrain
364,/data/videos/1600p/SteamLocomotiveTrain_2560x1600_60_10bit_crop.yuv,10,60,2560,1600,22,12,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/1600p/SteamLocomotiveTrain_2560x1600_60_10bit_crop.yuv --FramesToBeEncoded=60 > SteamLocomotiveTrain_22_12,SteamLocomotiveTrain_22_12,SteamLocomotiveTrain
365,/data/videos/1600p/SteamLocomotiveTrain_2560x1600_60_10bit_crop.yuv,10,60,2560,1600,22,22,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/1600p/SteamLocomotiveTrain_2560x1600_60_10bit_crop.yuv --FramesToBeEncoded=60 > SteamLocomotiveTrain_22_22,SteamLocomotiveTrain_22_22,SteamLocomotiveTrain
366,/data/videos/1600p/SteamLocomotiveTrain_2560x1600_60_10bit_crop.yuv,10,60,2560,1600,22,13,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/1600p/SteamLocomotiveTrain_2560x1600_60_10bit_crop.yuv --FramesToBeEncoded=60 > SteamLocomotiveTrain_22_13,SteamLocomotiveTrain_22_13,SteamLocomotiveTrain
367,/data/videos/1600p/SteamLocomotiveTrain_2560x1600_60_10bit_crop.yuv,10,60,2560,1600,22,23,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/1600p/SteamLocomotiveTrain_2560x1600_60_10bit_crop.yuv --FramesToBeEncoded=60 > SteamLocomotiveTrain_22_23,SteamLocomotiveTrain_22_23,SteamLocomotiveTrain
368,/data/videos/1600p/SteamLocomotiveTrain_2560x1600_60_10bit_crop.yuv,10,60,2560,1600,22,14,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/1600p/SteamLocomotiveTrain_2560x1600_60_10bit_crop.yuv --FramesToBeEncoded=60 > SteamLocomotiveTrain_22_14,SteamLocomotiveTrain_22_14,SteamLocomotiveTrain
369,/data/videos/1600p/SteamLocomotiveTrain_2560x1600_60_10bit_crop.yuv,10,60,2560,1600,22,24,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/1600p/SteamLocomotiveTrain_2560x1600_60_10bit_crop.yuv --FramesToBeEncoded=60 > SteamLocomotiveTrain_22_24,SteamLocomotiveTrain_22_24,SteamLocomotiveTrain
370,/data/videos/1600p/SteamLocomotiveTrain_2560x1600_60_10bit_crop.yuv,10,60,2560,1600,27,51,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=27 -c sequence.cfg  -i /data/videos/1600p/SteamLocomotiveTrain_2560x1600_60_10bit_crop.yuv --FramesToBeEncoded=60 > SteamLocomotiveTrain_27_51,SteamLocomotiveTrain_27_51,SteamLocomotiveTrain
