linha,sequencia,bit,framerate,SourceWidth,SourceHeight,qp,subtrator,linhacomando,resultado,video
1045,/data/videos/4k/Suzie_3840x2160_60fps.yuv,8,60,3840,2160,22,51,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/4k/Suzie_3840x2160_60fps.yuv --FramesToBeEncoded=60 > Suzie60fps_22_51,Suzie60fps_22_51,Suzie60fps
1046,/data/videos/4k/Suzie_3840x2160_60fps.yuv,8,60,3840,2160,22,11,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/4k/Suzie_3840x2160_60fps.yuv --FramesToBeEncoded=60 > Suzie60fps_22_11,Suzie60fps_22_11,Suzie60fps
1047,/data/videos/4k/Suzie_3840x2160_60fps.yuv,8,60,3840,2160,22,21,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/4k/Suzie_3840x2160_60fps.yuv --FramesToBeEncoded=60 > Suzie60fps_22_21,Suzie60fps_22_21,Suzie60fps
1048,/data/videos/4k/Suzie_3840x2160_60fps.yuv,8,60,3840,2160,22,12,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/4k/Suzie_3840x2160_60fps.yuv --FramesToBeEncoded=60 > Suzie60fps_22_12,Suzie60fps_22_12,Suzie60fps
1049,/data/videos/4k/Suzie_3840x2160_60fps.yuv,8,60,3840,2160,22,22,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/4k/Suzie_3840x2160_60fps.yuv --FramesToBeEncoded=60 > Suzie60fps_22_22,Suzie60fps_22_22,Suzie60fps
1050,/data/videos/4k/Suzie_3840x2160_60fps.yuv,8,60,3840,2160,22,13,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/4k/Suzie_3840x2160_60fps.yuv --FramesToBeEncoded=60 > Suzie60fps_22_13,Suzie60fps_22_13,Suzie60fps
1051,/data/videos/4k/Suzie_3840x2160_60fps.yuv,8,60,3840,2160,22,23,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/4k/Suzie_3840x2160_60fps.yuv --FramesToBeEncoded=60 > Suzie60fps_22_23,Suzie60fps_22_23,Suzie60fps
1052,/data/videos/4k/Suzie_3840x2160_60fps.yuv,8,60,3840,2160,22,14,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/4k/Suzie_3840x2160_60fps.yuv --FramesToBeEncoded=60 > Suzie60fps_22_14,Suzie60fps_22_14,Suzie60fps
1053,/data/videos/4k/Suzie_3840x2160_60fps.yuv,8,60,3840,2160,22,24,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/4k/Suzie_3840x2160_60fps.yuv --FramesToBeEncoded=60 > Suzie60fps_22_24,Suzie60fps_22_24,Suzie60fps
1054,/data/videos/4k/Suzie_3840x2160_60fps.yuv,8,60,3840,2160,27,51,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=27 -c sequence.cfg  -i /data/videos/4k/Suzie_3840x2160_60fps.yuv --FramesToBeEncoded=60 > Suzie60fps_27_51,Suzie60fps_27_51,Suzie60fps
1055,/data/videos/4k/Suzie_3840x2160_60fps.yuv,8,60,3840,2160,27,11,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=27 -c sequence.cfg  -i /data/videos/4k/Suzie_3840x2160_60fps.yuv --FramesToBeEncoded=60 > Suzie60fps_27_11,Suzie60fps_27_11,Suzie60fps
1056,/data/videos/4k/Suzie_3840x2160_60fps.yuv,8,60,3840,2160,27,21,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=27 -c sequence.cfg  -i /data/videos/4k/Suzie_3840x2160_60fps.yuv --FramesToBeEncoded=60 > Suzie60fps_27_21,Suzie60fps_27_21,Suzie60fps
1057,/data/videos/4k/Suzie_3840x2160_60fps.yuv,8,60,3840,2160,27,12,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=27 -c sequence.cfg  -i /data/videos/4k/Suzie_3840x2160_60fps.yuv --FramesToBeEncoded=60 > Suzie60fps_27_12,Suzie60fps_27_12,Suzie60fps
1058,/data/videos/4k/Suzie_3840x2160_60fps.yuv,8,60,3840,2160,27,22,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=27 -c sequence.cfg  -i /data/videos/4k/Suzie_3840x2160_60fps.yuv --FramesToBeEncoded=60 > Suzie60fps_27_22,Suzie60fps_27_22,Suzie60fps
1059,/data/videos/4k/Suzie_3840x2160_60fps.yuv,8,60,3840,2160,27,13,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=27 -c sequence.cfg  -i /data/videos/4k/Suzie_3840x2160_60fps.yuv --FramesToBeEncoded=60 > Suzie60fps_27_13,Suzie60fps_27_13,Suzie60fps
1060,/data/videos/4k/Suzie_3840x2160_60fps.yuv,8,60,3840,2160,27,23,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=27 -c sequence.cfg  -i /data/videos/4k/Suzie_3840x2160_60fps.yuv --FramesToBeEncoded=60 > Suzie60fps_27_23,Suzie60fps_27_23,Suzie60fps
1061,/data/videos/4k/Suzie_3840x2160_60fps.yuv,8,60,3840,2160,27,14,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=27 -c sequence.cfg  -i /data/videos/4k/Suzie_3840x2160_60fps.yuv --FramesToBeEncoded=60 > Suzie60fps_27_14,Suzie60fps_27_14,Suzie60fps
1062,/data/videos/4k/Suzie_3840x2160_60fps.yuv,8,60,3840,2160,27,24,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=27 -c sequence.cfg  -i /data/videos/4k/Suzie_3840x2160_60fps.yuv --FramesToBeEncoded=60 > Suzie60fps_27_24,Suzie60fps_27_24,Suzie60fps
1063,/data/videos/4k/Suzie_3840x2160_60fps.yuv,8,60,3840,2160,32,51,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=32 -c sequence.cfg  -i /data/videos/4k/Suzie_3840x2160_60fps.yuv --FramesToBeEncoded=60 > Suzie60fps_32_51,Suzie60fps_32_51,Suzie60fps
1064,/data/videos/4k/Suzie_3840x2160_60fps.yuv,8,60,3840,2160,32,11,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=32 -c sequence.cfg  -i /data/videos/4k/Suzie_3840x2160_60fps.yuv --FramesToBeEncoded=60 > Suzie60fps_32_11,Suzie60fps_32_11,Suzie60fps
1065,/data/videos/4k/Suzie_3840x2160_60fps.yuv,8,60,3840,2160,32,21,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=32 -c sequence.cfg  -i /data/videos/4k/Suzie_3840x2160_60fps.yuv --FramesToBeEncoded=60 > Suzie60fps_32_21,Suzie60fps_32_21,Suzie60fps
1066,/data/videos/4k/Suzie_3840x2160_60fps.yuv,8,60,3840,2160,32,12,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=32 -c sequence.cfg  -i /data/videos/4k/Suzie_3840x2160_60fps.yuv --FramesToBeEncoded=60 > Suzie60fps_32_12,Suzie60fps_32_12,Suzie60fps
1067,/data/videos/4k/Suzie_3840x2160_60fps.yuv,8,60,3840,2160,32,22,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=32 -c sequence.cfg  -i /data/videos/4k/Suzie_3840x2160_60fps.yuv --FramesToBeEncoded=60 > Suzie60fps_32_22,Suzie60fps_32_22,Suzie60fps
1068,/data/videos/4k/Suzie_3840x2160_60fps.yuv,8,60,3840,2160,32,13,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=32 -c sequence.cfg  -i /data/videos/4k/Suzie_3840x2160_60fps.yuv --FramesToBeEncoded=60 > Suzie60fps_32_13,Suzie60fps_32_13,Suzie60fps
