linha,sequencia,bit,framerate,SourceWidth,SourceHeight,qp,subtrator,linhacomando,resultado,video
757,/data/videos/1080p/Tennis_1920x1080_24.yuv,8,24,1920,1080,22,51,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/1080p/Tennis_1920x1080_24.yuv --FramesToBeEncoded=60 > Tennis_22_51,Tennis_22_51,Tennis
758,/data/videos/1080p/Tennis_1920x1080_24.yuv,8,24,1920,1080,22,11,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/1080p/Tennis_1920x1080_24.yuv --FramesToBeEncoded=60 > Tennis_22_11,Tennis_22_11,Tennis
759,/data/videos/1080p/Tennis_1920x1080_24.yuv,8,24,1920,1080,22,21,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/1080p/Tennis_1920x1080_24.yuv --FramesToBeEncoded=60 > Tennis_22_21,Tennis_22_21,Tennis
760,/data/videos/1080p/Tennis_1920x1080_24.yuv,8,24,1920,1080,22,12,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/1080p/Tennis_1920x1080_24.yuv --FramesToBeEncoded=60 > Tennis_22_12,Tennis_22_12,Tennis
761,/data/videos/1080p/Tennis_1920x1080_24.yuv,8,24,1920,1080,22,22,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/1080p/Tennis_1920x1080_24.yuv --FramesToBeEncoded=60 > Tennis_22_22,Tennis_22_22,Tennis
762,/data/videos/1080p/Tennis_1920x1080_24.yuv,8,24,1920,1080,22,13,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/1080p/Tennis_1920x1080_24.yuv --FramesToBeEncoded=60 > Tennis_22_13,Tennis_22_13,Tennis
763,/data/videos/1080p/Tennis_1920x1080_24.yuv,8,24,1920,1080,22,23,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/1080p/Tennis_1920x1080_24.yuv --FramesToBeEncoded=60 > Tennis_22_23,Tennis_22_23,Tennis
764,/data/videos/1080p/Tennis_1920x1080_24.yuv,8,24,1920,1080,22,14,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/1080p/Tennis_1920x1080_24.yuv --FramesToBeEncoded=60 > Tennis_22_14,Tennis_22_14,Tennis
765,/data/videos/1080p/Tennis_1920x1080_24.yuv,8,24,1920,1080,22,24,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/1080p/Tennis_1920x1080_24.yuv --FramesToBeEncoded=60 > Tennis_22_24,Tennis_22_24,Tennis
766,/data/videos/1080p/Tennis_1920x1080_24.yuv,8,24,1920,1080,27,51,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=27 -c sequence.cfg  -i /data/videos/1080p/Tennis_1920x1080_24.yuv --FramesToBeEncoded=60 > Tennis_27_51,Tennis_27_51,Tennis
