linha,sequencia,bit,framerate,SourceWidth,SourceHeight,qp,subtrator,linhacomando,resultado,video
1081,/data/videos/4k/ToddlerFountain_4096x2160_60fps_10bit_420_jvet.yuv,10,60,4096,2160,22,51,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/4k/ToddlerFountain_4096x2160_60fps_10bit_420_jvet.yuv --FramesToBeEncoded=60 > ToddlerFountain_22_51,ToddlerFountain_22_51,ToddlerFountain
1082,/data/videos/4k/ToddlerFountain_4096x2160_60fps_10bit_420_jvet.yuv,10,60,4096,2160,22,11,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/4k/ToddlerFountain_4096x2160_60fps_10bit_420_jvet.yuv --FramesToBeEncoded=60 > ToddlerFountain_22_11,ToddlerFountain_22_11,ToddlerFountain
1083,/data/videos/4k/ToddlerFountain_4096x2160_60fps_10bit_420_jvet.yuv,10,60,4096,2160,22,21,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/4k/ToddlerFountain_4096x2160_60fps_10bit_420_jvet.yuv --FramesToBeEncoded=60 > ToddlerFountain_22_21,ToddlerFountain_22_21,ToddlerFountain
1084,/data/videos/4k/ToddlerFountain_4096x2160_60fps_10bit_420_jvet.yuv,10,60,4096,2160,22,12,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/4k/ToddlerFountain_4096x2160_60fps_10bit_420_jvet.yuv --FramesToBeEncoded=60 > ToddlerFountain_22_12,ToddlerFountain_22_12,ToddlerFountain
1085,/data/videos/4k/ToddlerFountain_4096x2160_60fps_10bit_420_jvet.yuv,10,60,4096,2160,22,22,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/4k/ToddlerFountain_4096x2160_60fps_10bit_420_jvet.yuv --FramesToBeEncoded=60 > ToddlerFountain_22_22,ToddlerFountain_22_22,ToddlerFountain
1086,/data/videos/4k/ToddlerFountain_4096x2160_60fps_10bit_420_jvet.yuv,10,60,4096,2160,22,13,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/4k/ToddlerFountain_4096x2160_60fps_10bit_420_jvet.yuv --FramesToBeEncoded=60 > ToddlerFountain_22_13,ToddlerFountain_22_13,ToddlerFountain
1087,/data/videos/4k/ToddlerFountain_4096x2160_60fps_10bit_420_jvet.yuv,10,60,4096,2160,22,23,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/4k/ToddlerFountain_4096x2160_60fps_10bit_420_jvet.yuv --FramesToBeEncoded=60 > ToddlerFountain_22_23,ToddlerFountain_22_23,ToddlerFountain
1088,/data/videos/4k/ToddlerFountain_4096x2160_60fps_10bit_420_jvet.yuv,10,60,4096,2160,22,14,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/4k/ToddlerFountain_4096x2160_60fps_10bit_420_jvet.yuv --FramesToBeEncoded=60 > ToddlerFountain_22_14,ToddlerFountain_22_14,ToddlerFountain
1089,/data/videos/4k/ToddlerFountain_4096x2160_60fps_10bit_420_jvet.yuv,10,60,4096,2160,22,24,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/4k/ToddlerFountain_4096x2160_60fps_10bit_420_jvet.yuv --FramesToBeEncoded=60 > ToddlerFountain_22_24,ToddlerFountain_22_24,ToddlerFountain
1090,/data/videos/4k/ToddlerFountain_4096x2160_60fps_10bit_420_jvet.yuv,10,60,4096,2160,27,51,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=27 -c sequence.cfg  -i /data/videos/4k/ToddlerFountain_4096x2160_60fps_10bit_420_jvet.yuv --FramesToBeEncoded=60 > ToddlerFountain_27_51,ToddlerFountain_27_51,ToddlerFountain
1091,/data/videos/4k/ToddlerFountain_4096x2160_60fps_10bit_420_jvet.yuv,10,60,4096,2160,27,11,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=27 -c sequence.cfg  -i /data/videos/4k/ToddlerFountain_4096x2160_60fps_10bit_420_jvet.yuv --FramesToBeEncoded=60 > ToddlerFountain_27_11,ToddlerFountain_27_11,ToddlerFountain
1092,/data/videos/4k/ToddlerFountain_4096x2160_60fps_10bit_420_jvet.yuv,10,60,4096,2160,27,21,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=27 -c sequence.cfg  -i /data/videos/4k/ToddlerFountain_4096x2160_60fps_10bit_420_jvet.yuv --FramesToBeEncoded=60 > ToddlerFountain_27_21,ToddlerFountain_27_21,ToddlerFountain
1093,/data/videos/4k/ToddlerFountain_4096x2160_60fps_10bit_420_jvet.yuv,10,60,4096,2160,27,12,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=27 -c sequence.cfg  -i /data/videos/4k/ToddlerFountain_4096x2160_60fps_10bit_420_jvet.yuv --FramesToBeEncoded=60 > ToddlerFountain_27_12,ToddlerFountain_27_12,ToddlerFountain
1094,/data/videos/4k/ToddlerFountain_4096x2160_60fps_10bit_420_jvet.yuv,10,60,4096,2160,27,22,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=27 -c sequence.cfg  -i /data/videos/4k/ToddlerFountain_4096x2160_60fps_10bit_420_jvet.yuv --FramesToBeEncoded=60 > ToddlerFountain_27_22,ToddlerFountain_27_22,ToddlerFountain
1095,/data/videos/4k/ToddlerFountain_4096x2160_60fps_10bit_420_jvet.yuv,10,60,4096,2160,27,13,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=27 -c sequence.cfg  -i /data/videos/4k/ToddlerFountain_4096x2160_60fps_10bit_420_jvet.yuv --FramesToBeEncoded=60 > ToddlerFountain_27_13,ToddlerFountain_27_13,ToddlerFountain
1096,/data/videos/4k/ToddlerFountain_4096x2160_60fps_10bit_420_jvet.yuv,10,60,4096,2160,27,23,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=27 -c sequence.cfg  -i /data/videos/4k/ToddlerFountain_4096x2160_60fps_10bit_420_jvet.yuv --FramesToBeEncoded=60 > ToddlerFountain_27_23,ToddlerFountain_27_23,ToddlerFountain
1097,/data/videos/4k/ToddlerFountain_4096x2160_60fps_10bit_420_jvet.yuv,10,60,4096,2160,27,14,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=27 -c sequence.cfg  -i /data/videos/4k/ToddlerFountain_4096x2160_60fps_10bit_420_jvet.yuv --FramesToBeEncoded=60 > ToddlerFountain_27_14,ToddlerFountain_27_14,ToddlerFountain
1098,/data/videos/4k/ToddlerFountain_4096x2160_60fps_10bit_420_jvet.yuv,10,60,4096,2160,27,24,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=27 -c sequence.cfg  -i /data/videos/4k/ToddlerFountain_4096x2160_60fps_10bit_420_jvet.yuv --FramesToBeEncoded=60 > ToddlerFountain_27_24,ToddlerFountain_27_24,ToddlerFountain
1099,/data/videos/4k/ToddlerFountain_4096x2160_60fps_10bit_420_jvet.yuv,10,60,4096,2160,32,51,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=32 -c sequence.cfg  -i /data/videos/4k/ToddlerFountain_4096x2160_60fps_10bit_420_jvet.yuv --FramesToBeEncoded=60 > ToddlerFountain_32_51,ToddlerFountain_32_51,ToddlerFountain
1100,/data/videos/4k/ToddlerFountain_4096x2160_60fps_10bit_420_jvet.yuv,10,60,4096,2160,32,11,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=32 -c sequence.cfg  -i /data/videos/4k/ToddlerFountain_4096x2160_60fps_10bit_420_jvet.yuv --FramesToBeEncoded=60 > ToddlerFountain_32_11,ToddlerFountain_32_11,ToddlerFountain
1101,/data/videos/4k/ToddlerFountain_4096x2160_60fps_10bit_420_jvet.yuv,10,60,4096,2160,32,21,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=32 -c sequence.cfg  -i /data/videos/4k/ToddlerFountain_4096x2160_60fps_10bit_420_jvet.yuv --FramesToBeEncoded=60 > ToddlerFountain_32_21,ToddlerFountain_32_21,ToddlerFountain
1102,/data/videos/4k/ToddlerFountain_4096x2160_60fps_10bit_420_jvet.yuv,10,60,4096,2160,32,12,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=32 -c sequence.cfg  -i /data/videos/4k/ToddlerFountain_4096x2160_60fps_10bit_420_jvet.yuv --FramesToBeEncoded=60 > ToddlerFountain_32_12,ToddlerFountain_32_12,ToddlerFountain
1103,/data/videos/4k/ToddlerFountain_4096x2160_60fps_10bit_420_jvet.yuv,10,60,4096,2160,32,22,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=32 -c sequence.cfg  -i /data/videos/4k/ToddlerFountain_4096x2160_60fps_10bit_420_jvet.yuv --FramesToBeEncoded=60 > ToddlerFountain_32_22,ToddlerFountain_32_22,ToddlerFountain
1104,/data/videos/4k/ToddlerFountain_4096x2160_60fps_10bit_420_jvet.yuv,10,60,4096,2160,32,13,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=32 -c sequence.cfg  -i /data/videos/4k/ToddlerFountain_4096x2160_60fps_10bit_420_jvet.yuv --FramesToBeEncoded=60 > ToddlerFountain_32_13,ToddlerFountain_32_13,ToddlerFountain
1105,/data/videos/4k/ToddlerFountain_4096x2160_60fps_10bit_420_jvet.yuv,10,60,4096,2160,32,23,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=32 -c sequence.cfg  -i /data/videos/4k/ToddlerFountain_4096x2160_60fps_10bit_420_jvet.yuv --FramesToBeEncoded=60 > ToddlerFountain_32_23,ToddlerFountain_32_23,ToddlerFountain
1106,/data/videos/4k/ToddlerFountain_4096x2160_60fps_10bit_420_jvet.yuv,10,60,4096,2160,32,14,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=32 -c sequence.cfg  -i /data/videos/4k/ToddlerFountain_4096x2160_60fps_10bit_420_jvet.yuv --FramesToBeEncoded=60 > ToddlerFountain_32_14,ToddlerFountain_32_14,ToddlerFountain
1107,/data/videos/4k/ToddlerFountain_4096x2160_60fps_10bit_420_jvet.yuv,10,60,4096,2160,32,24,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=32 -c sequence.cfg  -i /data/videos/4k/ToddlerFountain_4096x2160_60fps_10bit_420_jvet.yuv --FramesToBeEncoded=60 > ToddlerFountain_32_24,ToddlerFountain_32_24,ToddlerFountain
1108,/data/videos/4k/ToddlerFountain_4096x2160_60fps_10bit_420_jvet.yuv,10,60,4096,2160,37,51,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=37 -c sequence.cfg  -i /data/videos/4k/ToddlerFountain_4096x2160_60fps_10bit_420_jvet.yuv --FramesToBeEncoded=60 > ToddlerFountain_37_51,ToddlerFountain_37_51,ToddlerFountain
1109,/data/videos/4k/ToddlerFountain_4096x2160_60fps_10bit_420_jvet.yuv,10,60,4096,2160,37,11,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=37 -c sequence.cfg  -i /data/videos/4k/ToddlerFountain_4096x2160_60fps_10bit_420_jvet.yuv --FramesToBeEncoded=60 > ToddlerFountain_37_11,ToddlerFountain_37_11,ToddlerFountain
1110,/data/videos/4k/ToddlerFountain_4096x2160_60fps_10bit_420_jvet.yuv,10,60,4096,2160,37,21,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=37 -c sequence.cfg  -i /data/videos/4k/ToddlerFountain_4096x2160_60fps_10bit_420_jvet.yuv --FramesToBeEncoded=60 > ToddlerFountain_37_21,ToddlerFountain_37_21,ToddlerFountain
1111,/data/videos/4k/ToddlerFountain_4096x2160_60fps_10bit_420_jvet.yuv,10,60,4096,2160,37,12,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=37 -c sequence.cfg  -i /data/videos/4k/ToddlerFountain_4096x2160_60fps_10bit_420_jvet.yuv --FramesToBeEncoded=60 > ToddlerFountain_37_12,ToddlerFountain_37_12,ToddlerFountain
1112,/data/videos/4k/ToddlerFountain_4096x2160_60fps_10bit_420_jvet.yuv,10,60,4096,2160,37,22,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=37 -c sequence.cfg  -i /data/videos/4k/ToddlerFountain_4096x2160_60fps_10bit_420_jvet.yuv --FramesToBeEncoded=60 > ToddlerFountain_37_22,ToddlerFountain_37_22,ToddlerFountain
1113,/data/videos/4k/ToddlerFountain_4096x2160_60fps_10bit_420_jvet.yuv,10,60,4096,2160,37,13,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=37 -c sequence.cfg  -i /data/videos/4k/ToddlerFountain_4096x2160_60fps_10bit_420_jvet.yuv --FramesToBeEncoded=60 > ToddlerFountain_37_13,ToddlerFountain_37_13,ToddlerFountain
1114,/data/videos/4k/ToddlerFountain_4096x2160_60fps_10bit_420_jvet.yuv,10,60,4096,2160,37,23,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=37 -c sequence.cfg  -i /data/videos/4k/ToddlerFountain_4096x2160_60fps_10bit_420_jvet.yuv --FramesToBeEncoded=60 > ToddlerFountain_37_23,ToddlerFountain_37_23,ToddlerFountain
1115,/data/videos/4k/ToddlerFountain_4096x2160_60fps_10bit_420_jvet.yuv,10,60,4096,2160,37,14,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=37 -c sequence.cfg  -i /data/videos/4k/ToddlerFountain_4096x2160_60fps_10bit_420_jvet.yuv --FramesToBeEncoded=60 > ToddlerFountain_37_14,ToddlerFountain_37_14,ToddlerFountain
1116,/data/videos/4k/ToddlerFountain_4096x2160_60fps_10bit_420_jvet.yuv,10,60,4096,2160,37,24,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=37 -c sequence.cfg  -i /data/videos/4k/ToddlerFountain_4096x2160_60fps_10bit_420_jvet.yuv --FramesToBeEncoded=60 > ToddlerFountain_37_24,ToddlerFountain_37_24,ToddlerFountain
