linha,sequencia,bit,framerate,SourceWidth,SourceHeight,qp,subtrator,linhacomando,resultado,video
505,/data/videos/1600p/Traffic_2560x1600_30.yuv,8,30,2560,1600,22,51,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/1600p/Traffic_2560x1600_30.yuv --FramesToBeEncoded=60 > Traffic_22_51,Traffic_22_51,Traffic
506,/data/videos/1600p/Traffic_2560x1600_30.yuv,8,30,2560,1600,22,11,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/1600p/Traffic_2560x1600_30.yuv --FramesToBeEncoded=60 > Traffic_22_11,Traffic_22_11,Traffic
507,/data/videos/1600p/Traffic_2560x1600_30.yuv,8,30,2560,1600,22,21,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/1600p/Traffic_2560x1600_30.yuv --FramesToBeEncoded=60 > Traffic_22_21,Traffic_22_21,Traffic
508,/data/videos/1600p/Traffic_2560x1600_30.yuv,8,30,2560,1600,22,12,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/1600p/Traffic_2560x1600_30.yuv --FramesToBeEncoded=60 > Traffic_22_12,Traffic_22_12,Traffic
509,/data/videos/1600p/Traffic_2560x1600_30.yuv,8,30,2560,1600,22,22,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/1600p/Traffic_2560x1600_30.yuv --FramesToBeEncoded=60 > Traffic_22_22,Traffic_22_22,Traffic
510,/data/videos/1600p/Traffic_2560x1600_30.yuv,8,30,2560,1600,22,13,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/1600p/Traffic_2560x1600_30.yuv --FramesToBeEncoded=60 > Traffic_22_13,Traffic_22_13,Traffic
511,/data/videos/1600p/Traffic_2560x1600_30.yuv,8,30,2560,1600,22,23,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/1600p/Traffic_2560x1600_30.yuv --FramesToBeEncoded=60 > Traffic_22_23,Traffic_22_23,Traffic
512,/data/videos/1600p/Traffic_2560x1600_30.yuv,8,30,2560,1600,22,14,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/1600p/Traffic_2560x1600_30.yuv --FramesToBeEncoded=60 > Traffic_22_14,Traffic_22_14,Traffic
513,/data/videos/1600p/Traffic_2560x1600_30.yuv,8,30,2560,1600,22,24,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/1600p/Traffic_2560x1600_30.yuv --FramesToBeEncoded=60 > Traffic_22_24,Traffic_22_24,Traffic
514,/data/videos/1600p/Traffic_2560x1600_30.yuv,8,30,2560,1600,27,51,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=27 -c sequence.cfg  -i /data/videos/1600p/Traffic_2560x1600_30.yuv --FramesToBeEncoded=60 > Traffic_27_51,Traffic_27_51,Traffic
