linha,sequencia,bit,framerate,SourceWidth,SourceHeight,qp,subtrator,linhacomando,resultado,video
1117,/data/videos/4k/YachtRide_3840x2160_120fps_420_10bit_YUV.yuv,10,120,3840,2160,22,51,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/4k/YachtRide_3840x2160_120fps_420_10bit_YUV.yuv --FramesToBeEncoded=60 > YachtRide120fps_22_51,YachtRide120fps_22_51,YachtRide120fps
1118,/data/videos/4k/YachtRide_3840x2160_120fps_420_10bit_YUV.yuv,10,120,3840,2160,22,11,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/4k/YachtRide_3840x2160_120fps_420_10bit_YUV.yuv --FramesToBeEncoded=60 > YachtRide120fps_22_11,YachtRide120fps_22_11,YachtRide120fps
1119,/data/videos/4k/YachtRide_3840x2160_120fps_420_10bit_YUV.yuv,10,120,3840,2160,22,21,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/4k/YachtRide_3840x2160_120fps_420_10bit_YUV.yuv --FramesToBeEncoded=60 > YachtRide120fps_22_21,YachtRide120fps_22_21,YachtRide120fps
1120,/data/videos/4k/YachtRide_3840x2160_120fps_420_10bit_YUV.yuv,10,120,3840,2160,22,12,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/4k/YachtRide_3840x2160_120fps_420_10bit_YUV.yuv --FramesToBeEncoded=60 > YachtRide120fps_22_12,YachtRide120fps_22_12,YachtRide120fps
1121,/data/videos/4k/YachtRide_3840x2160_120fps_420_10bit_YUV.yuv,10,120,3840,2160,22,22,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/4k/YachtRide_3840x2160_120fps_420_10bit_YUV.yuv --FramesToBeEncoded=60 > YachtRide120fps_22_22,YachtRide120fps_22_22,YachtRide120fps
1122,/data/videos/4k/YachtRide_3840x2160_120fps_420_10bit_YUV.yuv,10,120,3840,2160,22,13,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/4k/YachtRide_3840x2160_120fps_420_10bit_YUV.yuv --FramesToBeEncoded=60 > YachtRide120fps_22_13,YachtRide120fps_22_13,YachtRide120fps
1123,/data/videos/4k/YachtRide_3840x2160_120fps_420_10bit_YUV.yuv,10,120,3840,2160,22,23,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/4k/YachtRide_3840x2160_120fps_420_10bit_YUV.yuv --FramesToBeEncoded=60 > YachtRide120fps_22_23,YachtRide120fps_22_23,YachtRide120fps
1124,/data/videos/4k/YachtRide_3840x2160_120fps_420_10bit_YUV.yuv,10,120,3840,2160,22,14,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/4k/YachtRide_3840x2160_120fps_420_10bit_YUV.yuv --FramesToBeEncoded=60 > YachtRide120fps_22_14,YachtRide120fps_22_14,YachtRide120fps
1125,/data/videos/4k/YachtRide_3840x2160_120fps_420_10bit_YUV.yuv,10,120,3840,2160,22,24,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=22 -c sequence.cfg  -i /data/videos/4k/YachtRide_3840x2160_120fps_420_10bit_YUV.yuv --FramesToBeEncoded=60 > YachtRide120fps_22_24,YachtRide120fps_22_24,YachtRide120fps
1126,/data/videos/4k/YachtRide_3840x2160_120fps_420_10bit_YUV.yuv,10,120,3840,2160,27,51,./EncoderAppStaticd -c encoder_intra_vtm.cfg --QP=27 -c sequence.cfg  -i /data/videos/4k/YachtRide_3840x2160_120fps_420_10bit_YUV.yuv --FramesToBeEncoded=60 > YachtRide120fps_27_51,YachtRide120fps_27_51,YachtRide120fps
